ID da transacção;ID do Ponto;Data e hora de operação;Valor (MT);Comissão (MT);PAN;NIB de débito;Número de telefone de débito
BCO03TPOS0000000001;BCO03POS0000040;03-01-2025 11:43:56;174.43;1.26;3575116152348599686;038442784331431146934;852706063
BCO03TPOS0000000002;BCO03POS0000148;18-01-2025 17:08:01;1409.66;7.14;2068324434869059536;034112132036117683963;820008765
BCO03TPOS0000000003;BCO03POS0000001;06-11-2025 06:07:58;741.10;7.54;4844317630919530881;037803586586194398060;849634309
BCO03TPOS0000000004;BCO03POS0000065;16-09-2025 12:55:22;930.04;6.50;0751956801745335718;039538538092591436750;862926130
BCO03TPOS0000000005;BCO03POS0000143;16-06-2025 19:59:58;505.53;6.58;4192102242292593478;036599345288947605938;826400213
BCO03TPOS0000000006;BCO03POS0000011;14-09-2025 07:18:15;535.43;10.94;2846388850222608378;030438017570680693680;869826107
BCO03TPOS0000000007;BCO03POS0000233;27-07-2025 17:44:48;2654.49;46.51;4986234736303326934;037667278235134249076;876425519
BCO03TPOS0000000008;BCO03POS0000126;06-07-2025 21:54:38;679.02;13.29;8504409618584899432;034528495045388243274;829281645
BCO03TPOS0000000009;BCO03POS0000061;03-05-2025 18:54:15;3885.30;95.70;2996420254324791439;037828381926344755014;842569706
BCO03TPOS0000000010;BCO03POS0000015;25-01-2025 13:49:39;1177.67;9.44;8283600700897723625;034290933490278656467;844685383
BCO03TPOS0000000011;BCO03POS0000036;31-05-2025 12:32:31;1805.27;22.62;1535678975648727429;039348430326225131092;858744523
BCO03TPOS0000000012;BCO03POS0000135;26-02-2025 16:32:07;1056.18;18.37;4207175526024105476;037897065247038794761;854873173
BCO03TPOS0000000013;BCO03POS0000247;05-02-2025 07:52:29;2199.71;25.23;1415349385907511248;038831720455016703597;873346991
BCO03TPOS0000000014;BCO03POS0000085;02-02-2025 08:28:28;701.51;2.33;6976130493824170293;033175594649560927012;849010492
BCO03TPOS0000000015;BCO03POS0000106;26-12-2025 08:11:41;683.00;5.01;8997571895288575548;035326924240454743112;867966778
BCO03TPOS0000000016;BCO03POS0000006;20-12-2025 09:55:13;7661.85;90.40;8035740705359232747;039330742577741089407;852435281
BCO03TPOS0000000017;BCO03POS0000066;03-10-2025 14:42:39;416.15;9.59;1330653393942337597;038779261224191055204;854144150
BCO03TPOS0000000018;BCO03POS0000191;07-08-2025 12:20:55;3434.19;52.20;2742633180785981207;035472200745936006342;858770315
BCO03TPOS0000000019;BCO03POS0000062;25-12-2025 16:40:30;213.05;2.61;8251140782207326339;038711225010934955274;864867307
BCO03TPOS0000000020;BCO03POS0000171;11-07-2025 20:18:08;877.05;4.28;7440699135158434069;039281754472776281344;877689651
BCO03TPOS0000000021;BCO03POS0000133;13-11-2025 13:24:50;681.08;12.69;2791110009901622940;038834627247271623686;852179058
BCO03TPOS0000000022;BCO03POS0000018;27-05-2025 00:03:55;657.08;6.91;0889153079495844694;035585365074135113558;861047805
BCO03TPOS0000000023;BCO03POS0000190;25-12-2025 08:07:12;2082.95;33.30;9764482268908521377;035938217997927774338;854891763
BCO03TPOS0000000024;BCO03POS0000191;20-07-2025 08:52:58;2304.46;22.97;3465984946116082256;038882209071764711937;846923142
BCO03TPOS0000000025;BCO03POS0000110;18-08-2025 12:20:11;1373.39;21.54;2372857714358754718;039715873094151486842;821528061
BCO03TPOS0000000026;BCO03POS0000254;25-10-2025 12:52:16;468.49;10.64;1887850790813269739;033121534676170468709;851889694
BCO03TPOS0000000027;BCO03POS0000141;18-07-2025 08:09:59;4419.51;36.99;0901076058368149219;034504523339761036732;846668990
BCO03TPOS0000000028;BCO03POS0000224;10-06-2025 10:07:08;335.55;6.15;2186012594316987939;037641743414923980516;849089587
BCO03TPOS0000000029;BCO03POS0000150;06-04-2025 20:55:01;2382.72;11.05;5537176355964438650;033369309603356567571;873089059
