NUIB;Referência do depósito;Tipo de Depósito;Tipo de Contraparte;País da Contraparte;Latitude;Longitude;Tipo de taxas de juros;Taxa de juro de referência;Taxa Anual Efectiva (TAE);Taxa Anual Nominal Bruta (TANB);Taxa Anual Nominal Líquida (TANL);Moeda;Data de Depósito;Data de Maturidade;Data do 1º Pagamento de Juros;Frequência de pagamento de juros
45913916892;BCO03DEP000000001;DO;0;MZ;-19.2498;36.0106;1;2;0.3442;0.5985;0.2754;MZN;31-12-2025;;30-01-2026;1
14198515045;BCO03DEP000000002;DO;1;MZ;-21.8785;35.9099;1;2;1.0937;1.9102;0.8750;MZN;01-12-2025;;31-12-2025;1
81166673806;BCO03DEP000000003;DO;0;MZ;-25.2733;35.1999;1;6;1.2009;2.0158;0.9607;MZN;03-09-2025;;03-10-2025;2
84530232030;BCO03DEP000000004;DO;0;MZ;-25.4748;38.0086;1;4;0.9359;1.7586;0.7487;MZN;29-03-2025;;28-04-2025;9
36741665173;BCO03DEP000000005;DO;1;MZ;-17.9598;36.9160;2;5;1.0753;2.0297;0.8602;MZN;03-11-2025;;03-12-2025;6
05130338625;BCO03DEP000000006;DP;0;MZ;-17.9557;32.8755;2;7;5.8545;6.0845;4.6836;USD;18-07-2025;18-07-2027;17-08-2025;4
85527314829;BCO03DEP000000007;DO;1;MZ;-10.8807;38.7099;2;1;1.0446;1.5081;0.8357;MZN;13-06-2025;;13-07-2025;6
16655717497;BCO03DEP000000008;DO;0;MZ;-21.0633;33.0269;1;6;0.3140;1.1707;0.2512;MZN;08-03-2025;;07-04-2025;5
30350683348;BCO03DEP000000009;DO;0;MZ;-10.4331;36.4430;1;2;0.1400;0.5993;0.1120;MZN;20-01-2025;;19-02-2025;2
73222981200;BCO03DEP000000010;DO;1;MZ;-12.1906;33.5752;2;6;1.4177;2.2826;1.1342;MZN;08-07-2025;;07-08-2025;6
38170912275;BCO03DEP000000011;DP;0;MZ;-18.9134;39.1637;1;5;6.0032;6.4809;4.8026;MZN;03-12-2025;02-01-2026;02-01-2026;1
99558344869;BCO03DEP000000012;DO;1;MZ;-11.8410;31.6302;1;2;0.4033;0.8274;0.3227;MZN;02-05-2025;;01-06-2025;4
51769882052;BCO03DEP000000013;DO;0;MZ;-17.6790;37.7388;1;5;0.3792;0.6173;0.3034;MZN;22-09-2025;;22-10-2025;6
92360018547;BCO03DEP000000014;PA;1;MZ;-22.7486;34.5344;2;4;11.6011;12.4038;9.2809;MZN;29-09-2025;28-12-2025;29-10-2025;3
65408089809;BCO03DEP000000015;DO;0;MZ;-12.6785;35.5156;1;4;1.5202;2.2997;1.2162;MZN;26-02-2025;;28-03-2025;5
32437011952;BCO03DEP000000016;DO;1;MZ;-22.2358;38.9886;3;3;0.3400;0.4431;0.2720;MZN;22-09-2025;;22-10-2025;4
05909372611;BCO03DEP000000017;PA;1;MZ;-16.9188;32.6017;1;4;6.8748;7.1306;5.4998;MZN;13-04-2025;12-07-2025;13-05-2025;2
01458484601;BCO03DEP000000018;DP;1;MZ;-22.7632;31.4911;2;1;4.9887;5.0684;3.9910;MZN;02-07-2025;01-08-2025;01-08-2025;4
45802012106;BCO03DEP000000019;DO;0;MZ;-13.6424;39.2090;1;6;0.5528;1.4245;0.4422;MZN;24-12-2025;;23-01-2026;3
98476586686;BCO03DEP000000020;DP;1;MZ;-20.8595;31.1600;1;6;5.2988;6.1468;4.2390;MZN;04-06-2025;04-07-2025;04-07-2025;4
59054725195;BCO03DEP000000021;DP;1;MZ;-21.8099;31.0045;1;7;1.7343;2.3950;1.3874;MZN;09-06-2025;09-06-2026;09-07-2025;2
21889698423;BCO03DEP000000022;DO;1;MZ;-20.9515;31.5076;2;6;1.1113;1.6419;0.8890;MZN;06-03-2025;;05-04-2025;4
55367972676;BCO03DEP000000023;DP;1;MZ;-22.6059;35.0590;1;5;3.6584;3.9217;2.9267;MZN;24-06-2025;22-09-2025;24-07-2025;6
46116559965;BCO03DEP000000024;DP;0;MZ;-10.4574;37.2397;1;6;10.8443;11.0044;8.6755;MZN;07-11-2025;07-11-2026;07-12-2025;5
75492377653;BCO03DEP000000025;DO;0;MZ;-24.2379;30.8115;1;6;0.2489;0.7122;0.1992;ZAR;04-08-2025;;03-09-2025;1
53881565250;BCO03DEP000000026;DO;0;MZ;-12.0038;32.2520;1;1;0.2466;0.9700;0.1973;MZN;11-06-2025;;11-07-2025;6
87272302133;BCO03DEP000000027;DP;1;MZ;-11.7038;36.3460;1;2;10.5570;10.9729;8.4456;MZN;16-06-2025;14-09-2025;16-07-2025;3
28044035163;BCO03DEP000000028;DP;1;MZ;-19.7981;31.3602;2;2;11.0770;11.7214;8.8616;MZN;01-08-2025;31-08-2025;31-08-2025;6
23618815029;BCO03DEP000000029;DO;0;MZ;-18.2603;36.1788;2;7;1.4221;2.2115;1.1377;MZN;05-02-2025;;07-03-2025;3
03976103520;BCO03DEP000000030;DO;1;MZ;-19.6695;34.1443;1;6;1.2426;1.6988;0.9941;MZN;14-06-2025;;14-07-2025;2
49747857068;BCO03DEP000000031;DO;1;MZ;-10.9501;32.2830;1;4;0.8774;1.6238;0.7019;MZN;20-08-2025;;19-09-2025;9
45269164766;BCO03DEP000000032;DP;0;MZ;-14.4179;31.3078;1;7;7.3675;7.7418;5.8940;MZN;30-05-2025;30-05-2026;29-06-2025;2
85459937371;BCO03DEP000000033;DO;1;MZ;-12.1564;37.8526;1;7;1.0493;1.3458;0.8395;MZN;12-02-2025;;14-03-2025;6
86235174231;BCO03DEP000000034;DO;0;MZ;-17.7640;38.1749;1;3;1.1030;1.3424;0.8824;MZN;11-01-2025;;10-02-2025;3
07845369418;BCO03DEP000000035;DP;1;MZ;-18.4286;34.0326;1;3;10.6307;11.5777;8.5046;MZN;05-05-2025;04-06-2025;04-06-2025;2
36084280947;BCO03DEP000000036;DP;0;MZ;-18.6154;33.5747;1;5;6.7541;6.7855;5.4033;MZN;11-05-2025;10-06-2025;10-06-2025;3
80923217967;BCO03DEP000000037;DO;0;MZ;-18.6730;35.1520;1;6;0.7585;1.3195;0.6068;MZN;28-11-2025;;28-12-2025;1
20248020555;BCO03DEP000000038;DO;1;MZ;-21.9964;32.6965;1;7;0.4167;1.0777;0.3333;MZN;27-07-2025;;26-08-2025;6
51694813709;BCO03DEP000000039;DP;1;MZ;-15.3325;39.8074;1;6;6.7956;7.6174;5.4364;MZN;26-11-2025;24-02-2026;26-12-2025;3
44894235331;BCO03DEP000000040;PA;0;MZ;-13.8058;39.9535;1;1;2.2495;2.6422;1.7996;USD;09-07-2025;09-07-2026;08-08-2025;6
20265525465;BCO03DEP000000041;DO;0;MZ;-18.9469;39.6315;1;7;0.0766;0.7875;0.0613;MZN;07-07-2025;;06-08-2025;5
43184237673;BCO03DEP000000042;DO;1;MZ;-18.5066;33.6177;1;5;1.9981;2.6158;1.5985;MZN;18-07-2025;;17-08-2025;4
20280174967;BCO03DEP000000043;DO;0;MZ;-23.6066;38.0898;1;5;1.7815;2.4417;1.4252;MZN;12-06-2025;;12-07-2025;5
41413824090;BCO03DEP000000044;DO;0;MZ;-23.1885;38.5183;1;2;0.3034;0.9665;0.2427;MZN;14-03-2025;;13-04-2025;2
94451872711;BCO03DEP000000045;DO;0;MZ;-15.8029;36.4414;1;7;1.9047;2.1309;1.5238;MZN;08-11-2025;;08-12-2025;4
10985493035;BCO03DEP000000046;DO;1;MZ;-18.1357;35.0009;1;6;0.9554;1.1687;0.7643;MZN;24-11-2025;;24-12-2025;5
27803713972;BCO03DEP000000047;DO;1;MZ;-20.8687;38.0449;1;2;1.4874;1.5277;1.1899;MZN;08-03-2025;;07-04-2025;1
47134983498;BCO03DEP000000048;DO;1;MZ;-19.2985;36.2529;2;7;0.9452;1.5966;0.7561;ZAR;05-08-2025;;04-09-2025;4
92875846522;BCO03DEP000000049;DO;0;MZ;-21.2825;31.2350;1;7;0.2545;0.3670;0.2036;MZN;16-06-2025;;16-07-2025;4
06396889483;BCO03DEP000000050;DP;0;MZ;-18.7751;38.4988;1;7;4.5807;5.4527;3.6645;MZN;24-05-2025;24-05-2026;23-06-2025;2
89219186651;BCO03DEP000000051;DP;1;MZ;-12.4588;32.7602;3;5;3.9067;4.4186;3.1254;MZN;03-10-2025;01-01-2026;02-11-2025;3
45014470900;BCO03DEP000000052;DO;0;MZ;-15.6985;30.5873;2;6;0.0502;0.6794;0.0402;MZN;15-06-2025;;15-07-2025;6
02650728439;BCO03DEP000000053;DO;0;MZ;-11.2769;31.2280;1;3;1.0125;1.4114;0.8100;MZN;24-10-2025;;23-11-2025;2
44878809374;BCO03DEP000000054;PA;1;MZ;-18.6891;38.4611;1;7;2.3206;2.9806;1.8565;MZN;18-02-2025;18-02-2027;20-03-2025;4
32305016288;BCO03DEP000000055;DO;1;MZ;-18.6632;32.6729;3;5;0.0914;1.0289;0.0731;MZN;13-05-2025;;12-06-2025;9
98430018078;BCO03DEP000000056;DO;0;MZ;-10.7651;35.7669;1;2;0.1147;0.9055;0.0918;MZN;22-11-2025;;22-12-2025;4
88042387034;BCO03DEP000000057;DO;1;MZ;-17.9594;30.2764;1;6;0.5052;0.6530;0.4042;MZN;22-03-2025;;21-04-2025;5
35133286577;BCO03DEP000000058;DS;0;MZ;-10.6381;32.4266;1;2;3.6416;4.1303;2.9132;MZN;11-02-2025;;13-03-2025;4
60346039478;BCO03DEP000000059;DP;1;MZ;-12.0555;35.8263;1;7;2.3698;2.5905;1.8959;MZN;21-01-2025;21-04-2025;20-02-2025;1
34726330757;BCO03DEP000000060;DO;1;MZ;-11.8013;35.6456;1;5;1.2922;1.5265;1.0338;MZN;13-12-2025;;12-01-2026;2
00371555890;BCO03DEP000000061;DP;0;MZ;-20.0656;38.2722;3;3;9.0381;9.3162;7.2305;MZN;23-02-2025;22-08-2025;25-03-2025;2
12481937189;BCO03DEP000000062;DP;1;MZ;-21.8534;36.7532;1;4;4.1281;4.2650;3.3025;MZN;16-01-2025;15-02-2025;15-02-2025;4
08674276289;BCO03DEP000000063;DP;0;MZ;-20.5977;35.2930;3;5;5.5135;5.7894;4.4108;MZN;24-08-2025;23-09-2025;23-09-2025;1
77968428260;BCO03DEP000000064;PA;1;MZ;-14.0728;30.2361;1;5;7.9827;8.4009;6.3861;MZN;12-07-2025;11-08-2025;11-08-2025;4
19871167563;BCO03DEP000000065;DO;0;MZ;-12.6607;32.2456;1;5;0.9098;1.6180;0.7279;MZN;04-05-2025;;03-06-2025;5
18148286108;BCO03DEP000000066;DP;1;MZ;-24.6258;36.3957;2;5;11.8208;12.2170;9.4567;MZN;08-06-2025;08-06-2026;08-07-2025;5
94090223332;BCO03DEP000000067;DO;0;MZ;-23.3240;35.0963;1;1;0.9571;1.1953;0.7657;MZN;16-08-2025;;15-09-2025;6
87122797840;BCO03DEP000000068;DO;0;MZ;-12.5085;31.1479;3;3;1.4007;2.3564;1.1205;MZN;08-03-2025;;07-04-2025;5
14474090685;BCO03DEP000000069;DO;1;MZ;-15.6307;37.6658;2;6;0.7713;1.0655;0.6171;MZN;26-11-2025;;26-12-2025;4
52203139384;BCO03DEP000000070;PA;0;MZ;-25.6943;31.2474;1;4;1.1068;1.1507;0.8855;MZN;29-05-2025;28-06-2025;28-06-2025;6
97435553399;BCO03DEP000000071;DO;0;MZ;-22.3680;31.8300;1;3;1.1419;1.9964;0.9135;MZN;17-08-2025;;16-09-2025;1
62641431887;BCO03DEP000000072;DO;1;MZ;-17.1694;31.2682;1;3;0.1510;0.6457;0.1208;MZN;08-03-2025;;07-04-2025;3
34017744217;BCO03DEP000000073;DO;1;MZ;-17.3350;38.1408;1;3;0.4530;0.4604;0.3624;MZN;05-04-2025;;05-05-2025;1
81233089221;BCO03DEP000000074;DO;1;MZ;-17.3525;37.3567;1;1;0.3348;1.1692;0.2678;MZN;24-06-2025;;24-07-2025;3
11853129796;BCO03DEP000000075;DO;0;MZ;-21.0000;32.9411;1;5;0.9566;1.8076;0.7652;MZN;17-07-2025;;16-08-2025;1
52569639618;BCO03DEP000000076;DO;1;MZ;-16.6827;34.8205;1;6;0.9335;1.8253;0.7468;MZN;22-12-2025;;21-01-2026;2
55505660810;BCO03DEP000000077;DP;1;MZ;-13.7033;35.2324;1;3;2.3188;2.6273;1.8550;MZN;27-05-2025;23-11-2025;26-06-2025;9
06216169773;BCO03DEP000000078;DP;1;MZ;-14.4725;36.0681;2;6;7.1646;7.3853;5.7317;MZN;20-10-2025;18-01-2026;19-11-2025;9
10172189875;BCO03DEP000000079;DP;1;MZ;-21.7268;31.7852;1;4;10.6123;11.0610;8.4898;MZN;23-03-2025;19-09-2025;22-04-2025;9
77063690242;BCO03DEP000000080;DO;1;MZ;-10.7235;33.0070;1;4;0.9856;1.9331;0.7884;MZN;20-06-2025;;20-07-2025;6
63587415316;BCO03DEP000000081;DP;1;MZ;-25.2238;32.0232;1;7;7.6690;8.5815;6.1352;MZN;26-11-2025;26-11-2027;26-12-2025;2
89087245845;BCO03DEP000000082;DP;0;MZ;-10.6312;36.9653;1;2;5.4903;6.0571;4.3923;MZN;29-12-2025;29-12-2026;28-01-2026;9
95451042635;BCO03DEP000000083;DO;1;MZ;-14.4185;31.7863;1;7;1.4348;1.6760;1.1479;MZN;24-10-2025;;23-11-2025;6
46471793737;BCO03DEP000000084;DO;0;MZ;-17.9225;38.7143;1;3;1.9978;2.4306;1.5982;MZN;19-05-2025;;18-06-2025;9
41315424345;BCO03DEP000000085;DO;1;MZ;-11.9097;38.5423;1;2;1.3985;2.0486;1.1188;MZN;07-12-2025;;06-01-2026;2
24768765437;BCO03DEP000000086;DP;0;MZ;-25.5752;38.6820;1;3;4.2420;4.7583;3.3936;MZN;13-11-2025;12-05-2026;13-12-2025;3
16870596287;BCO03DEP000000087;DP;1;MZ;-13.5320;37.3916;1;4;1.6165;2.1360;1.2932;MZN;19-09-2025;19-10-2025;19-10-2025;2
76914830084;BCO03DEP000000088;DP;1;MZ;-11.7075;39.7454;1;5;4.2248;4.8579;3.3799;MZN;28-05-2025;28-05-2027;27-06-2025;1
31206000019;BCO03DEP000000089;DO;1;MZ;-19.2204;30.4946;1;1;0.3711;1.0589;0.2969;MZN;11-12-2025;;10-01-2026;1
51690248758;BCO03DEP000000090;DO;1;MZ;-25.3331;39.7999;1;1;1.5520;2.5244;1.2416;MZN;11-12-2025;;10-01-2026;2
11899232268;BCO03DEP000000091;DO;1;MZ;-12.4919;34.0349;1;1;1.8629;2.0222;1.4903;USD;14-01-2025;;13-02-2025;3
55743799053;BCO03DEP000000092;DO;0;MZ;-25.5605;33.0720;1;6;0.1513;0.2073;0.1210;MZN;05-09-2025;;05-10-2025;9
28803212521;BCO03DEP000000093;DO;0;MZ;-11.7293;36.1991;1;4;1.9420;2.4571;1.5536;USD;03-05-2025;;02-06-2025;6
94443287778;BCO03DEP000000094;DO;0;MZ;-12.2763;34.2675;1;7;0.2048;0.3339;0.1638;MZN;03-12-2025;;02-01-2026;3
84793595018;BCO03DEP000000095;DO;1;MZ;-13.1158;36.2159;2;1;1.6133;2.3641;1.2906;MZN;07-12-2025;;06-01-2026;1
61636936709;BCO03DEP000000096;DO;1;MZ;-10.1052;33.1963;1;5;1.1931;1.4526;0.9545;MZN;28-03-2025;;27-04-2025;4
37522203114;BCO03DEP000000097;PA;0;MZ;-17.3053;36.0485;2;4;6.7259;7.0346;5.3807;MZN;23-09-2025;22-03-2026;23-10-2025;2
17071654449;BCO03DEP000000098;DO;0;MZ;-22.0341;38.2259;1;1;1.2700;1.3779;1.0160;MZN;03-06-2025;;03-07-2025;5
78057977563;BCO03DEP000000099;DO;0;MZ;-25.3753;38.6900;1;2;1.4212;1.7274;1.1370;MZN;24-06-2025;;24-07-2025;5
13896164625;BCO03DEP000000100;DO;1;MZ;-11.1986;31.2169;1;4;1.6049;2.1767;1.2839;MZN;13-02-2025;;15-03-2025;9
95189578251;BCO03DEP000000101;DO;0;MZ;-12.6715;36.9153;1;5;0.7605;1.4122;0.6084;MZN;19-05-2025;;18-06-2025;4
18014017154;BCO03DEP000000102;DO;1;MZ;-10.4067;39.7024;1;6;0.7539;1.0040;0.6031;MZN;10-10-2025;;09-11-2025;3
02735586826;BCO03DEP000000103;DP;1;MZ;-20.8721;32.6108;1;7;10.9882;11.9012;8.7905;MZN;11-01-2025;11-01-2027;10-02-2025;9
12034699480;BCO03DEP000000104;DP;0;MZ;-17.8834;37.7449;1;4;7.6247;7.8526;6.0998;MZN;10-08-2025;10-08-2026;09-09-2025;2
79965769861;BCO03DEP000000105;DS;1;MZ;-12.1069;30.3665;1;6;7.4961;7.8893;5.9968;MZN;06-03-2025;;05-04-2025;4
99273652664;BCO03DEP000000106;DO;0;MZ;-11.5269;31.0781;1;5;0.7937;0.8491;0.6350;MZN;08-02-2025;;10-03-2025;2
13360134047;BCO03DEP000000107;PA;1;MZ;-20.1479;36.1946;1;7;4.9778;5.7641;3.9822;MZN;16-05-2025;16-05-2027;15-06-2025;1
44078050911;BCO03DEP000000108;DO;1;MZ;-18.9307;39.5068;2;7;0.9886;1.7412;0.7909;MZN;12-04-2025;;12-05-2025;5
50887364902;BCO03DEP000000109;DO;0;MZ;-14.1933;38.4259;1;2;1.8200;2.7340;1.4560;MZN;11-10-2025;;10-11-2025;1
52286694997;BCO03DEP000000110;DP;1;MZ;-15.7807;30.5149;1;7;6.7721;7.0297;5.4177;MZN;12-09-2025;12-10-2025;12-10-2025;6
20758275556;BCO03DEP000000111;DP;0;MZ;-19.8561;39.3771;2;1;3.0817;3.5879;2.4654;MZN;20-03-2025;19-04-2025;19-04-2025;5
96013885617;BCO03DEP000000112;DO;0;MZ;-18.6860;33.6899;1;3;1.4387;1.8010;1.1509;MZN;14-05-2025;;13-06-2025;3
13419230551;BCO03DEP000000113;DO;0;MZ;-10.0929;38.4614;1;6;0.2283;0.3019;0.1827;MZN;31-03-2025;;30-04-2025;4
59623213772;BCO03DEP000000114;DO;0;MZ;-19.3186;35.0646;1;5;1.7711;2.5255;1.4169;MZN;23-07-2025;;22-08-2025;4
51474604898;BCO03DEP000000115;DO;1;MZ;-15.5952;38.7688;1;4;0.8311;0.9289;0.6649;MZN;13-05-2025;;12-06-2025;3
01370555313;BCO03DEP000000116;DO;1;MZ;-17.2746;31.8697;1;2;1.5799;1.8560;1.2639;MZN;31-01-2025;;02-03-2025;1
48761999361;BCO03DEP000000117;DP;0;MZ;-22.5213;37.2578;3;6;6.8490;7.6874;5.4792;MZN;13-12-2025;13-03-2026;12-01-2026;3
87913347782;BCO03DEP000000118;DP;1;MZ;-14.7142;37.2082;2;7;2.6832;2.7690;2.1466;MZN;16-07-2025;12-01-2026;15-08-2025;5
04498815319;BCO03DEP000000119;DS;0;MZ;-21.6118;30.3652;1;6;3.2322;3.7954;2.5858;MZN;11-01-2025;;10-02-2025;3
46530048562;BCO03DEP000000120;DP;0;MZ;-21.9186;39.2114;1;5;9.8275;10.3541;7.8620;MZN;22-01-2025;21-02-2025;21-02-2025;5
39230502123;BCO03DEP000000121;DO;0;MZ;-20.8828;37.9426;1;4;1.2522;2.2460;1.0018;MZN;28-09-2025;;28-10-2025;2
75031723774;BCO03DEP000000122;DP;0;MZ;-21.8780;35.0546;1;3;8.3511;8.9050;6.6809;EUR;19-09-2025;18-12-2025;19-10-2025;9
71189935543;BCO03DEP000000123;DO;1;MZ;-22.6883;36.5925;1;3;1.4162;2.2734;1.1330;MZN;04-05-2025;;03-06-2025;1
32795575485;BCO03DEP000000124;DP;1;MZ;-19.5280;32.6807;1;2;11.9191;12.1635;9.5353;MZN;18-08-2025;18-08-2026;17-09-2025;5
32274714282;BCO03DEP000000125;DP;0;MZ;-11.9140;38.3152;1;3;7.3325;7.5477;5.8660;MZN;23-05-2025;23-05-2027;22-06-2025;1
58578452864;BCO03DEP000000126;DO;1;MZ;-25.6619;34.3341;1;7;1.6053;2.4968;1.2843;MZN;08-09-2025;;08-10-2025;6
61034693976;BCO03DEP000000127;DP;1;MZ;-10.5155;30.0296;1;2;1.7797;2.5078;1.4237;MZN;28-09-2025;27-03-2026;28-10-2025;5
97660756472;BCO03DEP000000128;PA;0;MZ;-23.2615;30.1801;2;2;1.7204;1.8961;1.3763;MZN;03-02-2025;05-03-2025;05-03-2025;2
70615663475;BCO03DEP000000129;DS;1;MZ;-11.8889;34.1926;1;5;3.3123;3.9444;2.6499;MZN;28-07-2025;;27-08-2025;3
07819350127;BCO03DEP000000130;DO;1;MZ;-21.9753;34.7382;1;6;0.6751;1.2968;0.5400;USD;15-03-2025;;14-04-2025;9
78991083628;BCO03DEP000000131;DO;0;MZ;-24.3066;31.8385;2;5;0.9247;1.3571;0.7397;MZN;04-03-2025;;03-04-2025;9
78829133244;BCO03DEP000000132;DO;1;MZ;-25.2725;30.0513;2;1;0.4168;0.9586;0.3334;MZN;03-06-2025;;03-07-2025;6
27724575690;BCO03DEP000000133;DO;0;MZ;-16.8914;32.0683;2;4;1.0683;1.1850;0.8546;MZN;20-08-2025;;19-09-2025;9
98469942640;BCO03DEP000000134;DP;0;MZ;-14.2882;39.1290;1;6;1.0583;1.3398;0.8467;MZN;24-06-2025;24-07-2025;24-07-2025;6
06435775500;BCO03DEP000000135;DO;1;MZ;-16.0902;34.0399;1;3;1.4177;1.4318;1.1342;MZN;30-09-2025;;30-10-2025;5
15292244187;BCO03DEP000000136;DP;1;MZ;-13.1727;31.1727;1;5;3.6037;4.4104;2.8830;MZN;27-08-2025;26-09-2025;26-09-2025;1
74267254476;BCO03DEP000000137;DO;0;MZ;-21.1820;36.5368;1;4;1.9995;2.5739;1.5996;MZN;08-05-2025;;07-06-2025;1
15652016339;BCO03DEP000000138;DO;0;MZ;-11.7155;36.6286;2;2;1.4129;2.0923;1.1303;MZN;19-08-2025;;18-09-2025;6
03092650151;BCO03DEP000000139;DP;1;MZ;-12.7627;32.8921;1;5;4.4893;4.5070;3.5914;MZN;02-03-2025;01-04-2025;01-04-2025;2
96464390418;BCO03DEP000000140;DO;1;MZ;-23.4290;36.8534;1;1;1.3052;1.6770;1.0442;MZN;25-05-2025;;24-06-2025;1
49646051001;BCO03DEP000000141;DP;0;MZ;-15.5023;36.8590;3;5;11.5226;11.6117;9.2181;USD;02-09-2025;01-12-2025;02-10-2025;2
25577806203;BCO03DEP000000142;PA;0;MZ;-17.7529;35.0909;1;6;7.2542;7.4906;5.8034;MZN;23-07-2025;23-07-2026;22-08-2025;5
41049485208;BCO03DEP000000143;DP;0;MZ;-12.8978;38.5227;1;5;8.3070;8.4497;6.6456;MZN;02-05-2025;01-06-2025;01-06-2025;4
05550248133;BCO03DEP000000144;DO;1;MZ;-15.6749;36.5098;3;1;0.8865;1.3335;0.7092;MZN;22-09-2025;;22-10-2025;1
17190253247;BCO03DEP000000145;DO;0;MZ;-23.1692;38.0381;1;2;1.4314;1.5160;1.1452;MZN;28-11-2025;;28-12-2025;2
27126099266;BCO03DEP000000146;DP;0;MZ;-25.0399;33.7541;2;3;4.0370;4.5405;3.2296;MZN;28-08-2025;26-11-2025;27-09-2025;6
77575420922;BCO03DEP000000147;DF;0;MZ;-13.1468;33.8887;1;3;3.7745;4.7375;3.0196;MZN;03-01-2025;;02-02-2025;4
81748195729;BCO03DEP000000148;DO;0;MZ;-16.1541;33.6900;3;6;0.5402;0.9803;0.4322;MZN;05-07-2025;;04-08-2025;3
27896177030;BCO03DEP000000149;DP;0;MZ;-16.5506;33.2044;1;4;2.3075;2.4506;1.8460;MZN;20-01-2025;20-01-2026;19-02-2025;6
30754691194;BCO03DEP000000150;DO;1;MZ;-21.7522;32.4029;1;4;1.9798;2.2095;1.5839;MZN;16-08-2025;;15-09-2025;1
80510919624;BCO03DEP000000151;DO;1;MZ;-11.6774;39.0507;1;1;0.4046;0.4264;0.3237;MZN;05-07-2025;;04-08-2025;5
90888278317;BCO03DEP000000152;DO;0;MZ;-12.7937;31.4148;1;5;0.4516;0.5174;0.3613;MZN;29-04-2025;;29-05-2025;4
