NUIB;Número do cliente;Código da agência bancária;Designação da agência bancária;Referência do pedido;Referência do crédito;Canal de submissão;Data da submissão;Resultado da apreciação do pedido;Motivo da rejeição;Tipo de cliente em relação à operação;Tipo de crédito;Âmbito de crédito;Cliente entidade correlacionada;Código do produto de crédito;Designação do produto de crédito;Tipo de amortização;Modalidade do crédito;Indicador crédito verde;Finalidade do crédito;Montante solicitado;Montante aprovado;Moeda da operação;Data da contratação;Data efectiva do 1º desembolso/ utilização;Data do 1º pagamento de capital;Período de deferimento;Data de maturidade;Número de prestações;Frequência de reembolsos;Tipo de taxas de juros;Taxa de juro de referência;Spread da taxa de juros;Comissão do crédito por assinatura;Cedência da operação;Crédito Segurado;Operação vinculada ao sindicato;Local de utilização;Latitude;Longitude;Actividade económica;Origem de recursos;Percentagem dos recursos consignados
06612159875;CLI326110625629449352;AG041809;Agência Derre;BCO03PED000000001;BCO03CRD000000001;O;14-02-2025;A;;N;1;3;N;AGR01;AGR01 Produto de crédito;FIA;300;NVE;110;1502261.05;1487818.71;MZN;06-03-2025;07-03-2025;06-04-2025;16;11-02-2032;34;9;2;4;5.8373;2144.97;S;S;S;041802;-18.6475;32.1183;47110;P;
86795765951;CLI693955470422402502;AG021008;Agência Montepuez;BCO03PED000000002;BCO03CRD000000002;P;09-07-2025;A;;N;1;3;N;PME01;PME01 Produto de crédito;SLA;402;NVE;100;942448.61;902338.69;EUR;30-07-2025;06-08-2025;05-09-2025;129;29-05-2033;109;1;1;1;8.2031;16826.86;S;N;N;021003;-23.9273;31.0245;55101;C;
48666718403;CLI813576113570558026;AG091205;Agência Limpopo;BCO03PED000000003;BCO03CRD000000003;A;04-01-2025;A;;N;1;1;C;EMP01;EMP01 Produto de crédito;FIA;102;NVE;101;1468435.95;1075540.46;MZN;18-01-2025;18-01-2025;17-02-2025;15;07-04-2027;28;7;1;4;11.4504;17782.61;N;N;N;091203;-16.7507;39.2375;86100;P;
40684358988;CLI913236589764980183;AG100703;Agência Moamba;BCO03PED000000004;BCO03CRD000000004;A;12-07-2025;R;71;N;1;3;N;AGR01;AGR01 Produto de crédito;IRR;404;NVE;110;335041.65;0.00;MZN;;;;163;;0;1;1;7;6.4839;19942.38;S;S;N;100701;-11.1067;33.9823;47730;M;50.72
44573103238;CLI688642844461716327;AG010206;Agência Cuamba;BCO03PED000000005;BCO03CRD000000005;O;28-11-2025;A;;E;1;3;N;PES01;PES01 Produto de crédito;OUT;401;NVE;200;6975844.32;5935890.11;MZN;07-12-2025;11-12-2025;10-01-2026;8;27-07-2026;79;3;2;2;3.9819;4482.49;S;S;N;010202;-16.3817;33.5251;55101;M;40.66
63790182873;CLI825567430065347011;AG032007;Agência Rapale;BCO03PED000000006;BCO03CRD000000006;P;03-02-2025;A;;N;1;3;N;PES01;PES01 Produto de crédito;OUT;204;NVE;109;744363.65;731156.94;MZN;19-02-2025;01-03-2025;31-03-2025;151;01-08-2027;5;4;1;4;14.4054;19119.57;N;N;N;032003;-21.0155;38.1812;64190;M;82.61
61210777500;CLI163113863964612298;AG080201;Agência Funhalouro;BCO03PED000000007;BCO03CRD000000007;P;18-01-2025;A;;N;1;2;N;HAB01;HAB01 Produto de crédito;FIA;202;NVE;110;430612.64;343167.69;MZN;07-02-2025;14-02-2025;16-03-2025;110;13-07-2033;112;9;2;5;13.0985;13106.22;N;N;N;080201;-15.6396;34.1590;55101;M;33.83
10770214780;CLI692368543863605042;AG070102;Agência Cidade da Beira;BCO03PED000000008;BCO03CRD000000008;A;04-07-2025;A;;N;1;3;N;HAB01;HAB01 Produto de crédito;FIA;101;NVE;111;327572.63;273658.77;ZAR;22-07-2025;01-08-2025;31-08-2025;55;11-08-2034;17;7;1;1;9.7606;9463.45;S;N;N;070101;-18.9330;31.8779;47730;M;12.68
27578433582;CLI565261333740295567;AG040805;Agência Lugela;BCO03PED000000009;BCO03CRD000000009;D;19-04-2025;R;60;N;1;3;N;COM01;COM01 Produto de crédito;FIA;100;VER;110;6706479.45;0.00;EUR;;;;24;;0;4;1;5;6.4774;19583.19;S;N;S;040802;-18.9329;39.6615;47110;M;71.05
95288736264;CLI253135474103813262;AG021001;Agência Montepuez;BCO03PED000000010;BCO03CRD000000010;P;23-02-2025;A;;N;1;3;N;COM01;COM01 Produto de crédito;FIA;401;NVE;104;360841.32;290611.62;MZN;25-03-2025;01-04-2025;01-05-2025;156;29-07-2034;93;5;2;5;4.9613;3634.90;N;S;N;021005;-18.4533;36.5388;47210;M;26.54
