ID da transacção;ID do Ponto;Data e hora de operação;Valor (MT);Comissão (MT);PAN;NIB de débito;Número de telefone de débito
BCO07TPOS0000000001;BCO07POS0000047;21-10-2025 12:16:41;2050.04;31.10;2450131248021061834;070671033106754062693;829134873
BCO07TPOS0000000002;BCO07POS0000082;19-12-2025 01:38:20;531.22;10.91;4262788972687834318;079051638509582612515;864409393
BCO07TPOS0000000003;BCO07POS0000105;11-11-2025 19:57:26;948.91;17.24;7269833621632384247;079396208347370714584;871754181
BCO07TPOS0000000004;BCO07POS0000120;06-02-2025 10:44:33;16375.04;312.19;8409908084493129460;077235171374070002066;855068638
BCO07TPOS0000000005;BCO07POS0000008;22-02-2025 12:18:45;1834.39;5.28;9602319177887133694;078936343251040534571;861773328
BCO07TPOS0000000006;BCO07POS0000131;18-01-2025 15:22:31;2327.60;47.65;3797954802915832092;073093180936520639565;878591978
BCO07TPOS0000000007;BCO07POS0000028;11-05-2025 13:25:41;978.68;1.90;9611698485213537247;078771868303248113614;823665842
BCO07TPOS0000000008;BCO07POS0000068;17-03-2025 09:09:25;7656.75;178.95;3271516853327399790;072834146248264796041;874316887
BCO07TPOS0000000009;BCO07POS0000143;26-08-2025 16:01:19;1516.24;32.35;7357296643142104094;075172545809181860582;851800704
BCO07TPOS0000000010;BCO07POS0000149;26-01-2025 09:02:21;6119.54;55.31;8835440558831407234;079522593863380782233;825281042
BCO07TPOS0000000011;BCO07POS0000110;17-02-2025 17:49:16;1288.75;24.05;7820242578820447557;078746533980248332047;851947354
BCO07TPOS0000000012;BCO07POS0000136;06-11-2025 09:57:35;3309.93;48.59;2675095157856875922;072432887267276436631;877294059
BCO07TPOS0000000013;BCO07POS0000029;24-05-2025 17:51:41;877.34;10.57;1500520722834840394;071960776022601639121;863793493
BCO07TPOS0000000014;BCO07POS0000031;26-09-2025 07:33:50;1116.14;5.98;4946825397665521371;070432171358321296377;825078218
BCO07TPOS0000000015;BCO07POS0000088;31-10-2025 08:53:36;451.62;0.94;2467734891551266740;075761342459415919707;823412801
BCO07TPOS0000000016;BCO07POS0000027;26-08-2025 10:54:31;371.43;5.51;6748640052267657606;077696295541997778519;823851504
BCO07TPOS0000000017;BCO07POS0000079;21-02-2025 18:14:56;494.15;4.16;2788672412911096793;079449738979823433968;850437618
BCO07TPOS0000000018;BCO07POS0000057;26-05-2025 12:30:02;130.26;3.10;2720485919127203880;073808333638237838427;822637046
BCO07TPOS0000000019;BCO07POS0000017;16-04-2025 17:35:54;331.23;1.46;7165533963186027932;076924155476528018091;868500210
BCO07TPOS0000000020;BCO07POS0000133;02-04-2025 08:28:08;7279.73;25.51;0402839206575999656;078685124318153877238;842911921
BCO07TPOS0000000021;BCO07POS0000021;04-07-2025 11:21:56;794.28;11.51;6379615227656794482;070579498233898540716;853092520
BCO07TPOS0000000022;BCO07POS0000041;22-08-2025 14:56:42;3548.03;66.45;7135290886580045808;074539921225783142861;851185005
BCO07TPOS0000000023;BCO07POS0000129;05-04-2025 15:52:29;2834.97;40.56;4220456638627254329;070015346490453515617;866056341
BCO07TPOS0000000024;BCO07POS0000002;06-04-2025 14:32:45;2071.88;42.40;6842281244561741054;077974437059240336357;828138307
BCO07TPOS0000000025;BCO07POS0000030;31-07-2025 21:44:46;339.12;6.83;1861846175689857790;074473409391367270641;870437260
BCO07TPOS0000000026;BCO07POS0000124;18-05-2025 21:57:40;332.40;4.48;9404709530063706542;072214621888722473090;858434046
BCO07TPOS0000000027;BCO07POS0000107;09-03-2025 16:56:28;10496.34;205.06;8291862521496483254;076086159546847985492;869684393
BCO07TPOS0000000028;BCO07POS0000137;27-03-2025 18:07:02;1779.75;22.64;5526031254538283648;076568010938725510615;857104365
BCO07TPOS0000000029;BCO07POS0000026;25-08-2025 17:55:05;1117.66;23.53;4567236743226403591;079926814392027708873;867980783
BCO07TPOS0000000030;BCO07POS0000090;22-06-2025 20:59:57;1034.84;11.74;4540209947183851545;071456564360630449649;843953366
BCO07TPOS0000000031;BCO07POS0000106;12-03-2025 10:37:52;2805.23;7.87;0063063139736343955;078125821978932655238;851876773
BCO07TPOS0000000032;BCO07POS0000043;07-04-2025 01:04:06;2411.36;19.32;8755905165993773675;078919356873542532730;829664500
BCO07TPOS0000000033;BCO07POS0000051;09-02-2025 14:51:02;6198.93;117.63;0130410848485713650;077301519258304556470;843845951
BCO07TPOS0000000034;BCO07POS0000110;21-11-2025 20:19:15;726.83;1.35;1820100993971394168;078646079646146001945;821799823
BCO07TPOS0000000035;BCO07POS0000012;06-09-2025 06:38:52;1403.51;8.88;4237616804473182982;074043253615088596142;855537003
BCO07TPOS0000000036;BCO07POS0000039;09-01-2025 19:14:15;213.92;0.33;8563223698860070587;079412789297223075122;879780819
BCO07TPOS0000000037;BCO07POS0000062;30-10-2025 11:17:21;144.51;1.82;1665177206628214102;072323202556503218372;821827730
BCO07TPOS0000000038;BCO07POS0000141;18-12-2025 07:19:52;544.78;6.82;1228715323201501345;073823048666004882790;873192707
BCO07TPOS0000000039;BCO07POS0000042;10-06-2025 18:00:09;1320.97;22.42;1272343795869444084;079271156338566099224;862223973
BCO07TPOS0000000040;BCO07POS0000048;21-08-2025 15:33:20;675.98;8.95;6684922793028738035;073614923093051814991;864956240
BCO07TPOS0000000041;BCO07POS0000068;01-04-2025 10:57:19;1644.20;25.55;8703725671889093419;079519379295877722775;827068061
BCO07TPOS0000000042;BCO07POS0000050;14-02-2025 18:38:15;3440.20;34.53;1587987240914870284;074087535475009795215;866809355
BCO07TPOS0000000043;BCO07POS0000132;03-12-2025 12:10:46;1111.12;20.14;2737393935202657168;071746229974256262883;824259779
BCO07TPOS0000000044;BCO07POS0000039;23-08-2025 19:21:27;189.29;3.61;0307177946535677118;078543512357761529975;841440992
BCO07TPOS0000000045;BCO07POS0000080;13-12-2025 13:16:10;6127.82;124.18;9371756450651912611;073666217715199329399;828269632
BCO07TPOS0000000046;BCO07POS0000011;03-02-2025 21:40:05;3678.66;87.87;6113213229325068547;077828854394832581761;843879914
BCO07TPOS0000000047;BCO07POS0000090;27-12-2025 16:31:43;916.67;13.03;6113929867888153797;079663196547703313364;863363075
BCO07TPOS0000000048;BCO07POS0000027;15-12-2025 11:45:27;123.61;1.79;0554251102223020896;079823772098043283393;821344513
BCO07TPOS0000000049;BCO07POS0000078;19-03-2025 12:31:27;461.23;7.12;6138028334127606958;072525815752506243885;841351449
BCO07TPOS0000000050;BCO07POS0000062;18-11-2025 17:47:59;630.88;8.50;1928679799106234008;077934547431446517503;826763224
BCO07TPOS0000000051;BCO07POS0000056;19-11-2025 08:09:43;1346.86;9.70;6323149302929160061;071290330622265047664;852212061
