NIB;NUIB do Titular;IBAN;Agência / ID Ponto;Agente / ID Ponto;Tipo de Conta;Moeda;Titularidade;Tipo de Titular;Regime de movimentação;Sector de Actividade do Titular;Dimensão da Empresa titular;Volume de Negócios da Empresa titular;Número de trabalhadores da empresa titular;Tipo de classificação da necessidade especial/deficiência;Canal preferencial de acesso à conta;Estado da Conta;Motivo de alteração do Estado;Data da última actualização do estado;Data de Abertura;Data de Encerramento;Data da Última Operação;Data da Última Actualização dos dados;Canal de Abertura;Frequência de utilização da conta;Regime de Abertura;Pessoa Politicamente Exposta  (PEP)
073448421070870067484;22707590788;MZ5907344842107087006748483821585149;AG010303;;01;MZN;01;01;05;47730;00;0.00;0;01;01;01;00;21-06-2025;09-04-2023;;;21-06-2025;01;04;G;N
072299287888642148657;47124316721;MZ5907229928788864214865774560804782;AG031301;;01;MZN;01;01;04;41000;00;0.00;0;01;05;01;00;21-06-2025;19-10-2020;;;21-06-2025;05;03;S;N
076265471711239582937;20371565190;MZ5907626547171123958293798423664747;AG031308;;01;MZN;04;02;03;96020;02;3889508.70;395;00;03;01;00;24-12-2025;28-10-2017;;;24-12-2025;03;03;S;N
070454930081375497766;20733473438;MZ5907045493008137549776658384948204;AG020202;;03;EUR;01;01;04;56101;00;0.00;0;02;03;01;00;03-09-2025;20-07-2018;;;03-09-2025;03;02;S;N
076480082212417004600;87619850069;MZ5907648008221241700460015787686459;AG030401;;01;MZN;04;02;05;49230;04;16066153.77;10;00;05;01;00;01-04-2025;01-08-2019;;;01-04-2025;05;03;S;N
076575099911843313895;19724441040;MZ5907657509991184331389503634379314;AG040104;;05;MZN;04;02;03;49230;01;10372167.50;161;00;03;01;00;03-09-2025;20-06-2019;;;03-09-2025;03;01;G;N
074011383132915234648;25617735058;MZ5907401138313291523464847791346728;AG071103;;01;MZN;01;01;05;64190;00;0.00;0;01;01;02;13;12-03-2025;04-08-2024;;;12-03-2025;01;03;S;N
075905820774445143394;53924364228;MZ5907590582077444514339469651485315;AG031109;;01;MZN;08;02;03;86100;02;11421721.74;309;00;03;01;00;26-11-2025;01-06-2016;;;26-11-2025;03;02;S;N
076884197236527493335;74626342204;MZ5907688419723652749333523062686343;AG031009;;03;MZN;01;01;04;01110;00;0.00;0;02;04;01;00;06-09-2025;13-05-2021;;;06-09-2025;04;02;G;N
078770991651177893220;25418201203;MZ5907877099165117789322050490378699;AG032104;;02;MZN;01;01;03;47730;00;0.00;0;01;02;01;00;29-12-2025;02-12-2023;;;29-12-2025;02;02;G;N
075854711005881137097;57817090930;MZ5907585471100588113709708314986750;AG011405;;02;MZN;01;01;03;41000;00;0.00;0;01;02;03;02;16-08-2025;25-01-2025;;;16-08-2025;02;02;G;N
073507760552893335567;70110763898;MZ5907350776055289333556781585569507;AG030909;;02;USD;01;01;03;47300;00;0.00;0;01;05;01;00;09-07-2025;23-01-2021;;;09-07-2025;05;01;G;N
072258580934045095595;13678189855;MZ5907225858093404509559588298278518;AG021104;;01;MZN;01;01;03;86100;00;0.00;0;02;05;03;13;30-11-2025;05-12-2017;;;30-11-2025;05;01;G;N
079215274946632227281;26519080519;MZ5907921527494663222728131127758016;AG070106;;01;USD;01;01;01;62010;00;0.00;0;01;05;01;00;16-04-2025;14-08-2023;;;16-04-2025;05;01;S;N
070336119012512149520;11598083748;MZ5907033611901251214952097091295651;AG080504;;01;MZN;01;01;04;64190;00;0.00;0;01;04;01;00;01-03-2025;10-02-2024;;;01-03-2025;04;02;S;N
074784967661107352414;65223014816;MZ5907478496766110735241409847886902;AG031909;;01;MZN;01;01;03;47210;00;0.00;0;01;01;01;00;08-12-2025;31-03-2025;;;08-12-2025;01;01;S;N
075379761207012651662;83841563820;MZ5907537976120701265166247470603822;AG020201;;01;USD;01;01;03;41000;00;0.00;0;01;04;01;00;04-09-2025;27-04-2016;;;04-09-2025;04;02;G;N
079763560464742788793;02247425348;MZ5907976356046474278879377441386370;AG070602;;01;MZN;01;01;01;96020;00;0.00;0;01;03;04;10;19-03-2025;24-06-2020;;;19-03-2025;03;01;S;N
071473030066683371685;55420273846;MZ5907147303006668337168514474750567;AG100603;;05;MZN;01;01;03;64190;00;0.00;0;02;04;01;00;28-11-2025;30-07-2017;;;28-11-2025;04;03;G;N
