NUIB;Referência do crédito;Situação da operação;Estado de renegociação;Gestão de cobrança;Data da renegociação;Data do contencioso ou abate do activo;Montante desembolsado/ utilizado;Saldo de capital em dívida;Saldo de capital vencido;Juros vencidos;Juros vincendos;Juros de mora acumulados;Valor da prestação;Taxa de juros de referência;Taxa de juros efectiva;Taxa de juros de mora;Data início de atraso;N.º de dias de atraso;N.º de dias de atraso.1;N.º de prestações em atraso;Comissão de liquidação;Montante cobrado
56516673014;BCO07CRD000001872;REG;RES;NOR;;;941589.51;941589.51;0.00;0.00;47079.48;0.00;7979.57;13.9223;19.8360;29.8278;;0;0;0;2.9922;0.00
80110519788;BCO07CRD000001742;REG;REF;NOR;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;13.4487;25.6605;31.8313;;0;0;0;0.4469;0.00
72215187185;BCO07CRD000000493;REG;NRE;NOR;;;579046.27;579046.27;0.00;0.00;28952.31;0.00;48253.86;16.2589;22.9725;29.4325;;0;0;0;0.5279;0.00
45014754045;BCO07CRD000000641;REG;REF;NOR;;;660180.77;660180.77;0.00;0.00;33009.04;0.00;8150.38;15.8589;22.3927;31.5280;;0;0;0;2.2658;0.00
45073288482;BCO07CRD000000971;REG;NRE;NOR;;;254727.80;254727.80;0.00;0.00;12736.39;0.00;2497.33;16.1502;22.0296;27.7603;;0;0;0;0.3002;0.00
30196514246;BCO07CRD000000309;REG;NRE;NOR;;;8657222.79;8657222.79;0.00;0.00;432861.14;0.00;88339.01;18.6966;24.4056;28.5676;;0;0;0;0.4956;0.00
34218943075;BCO07CRD000001264;REG;NRE;NOR;;;710103.08;710103.08;0.00;0.00;35505.15;0.00;8257.01;13.3462;12.4430;17.2976;;0;0;0;2.5473;0.00
71908562421;BCO07CRD000000453;REG;NRE;NOR;;;580606.84;580606.84;0.00;0.00;29030.34;0.00;12095.98;14.8745;21.8405;30.2193;;0;0;0;0.9148;0.00
43219478451;BCO07CRD000001273;REG;NRE;NOR;;;2192514.89;2192514.89;0.00;0.00;109625.74;0.00;29628.58;11.8855;14.1519;22.9728;;0;0;0;2.9892;0.00
75464548116;BCO07CRD000000909;REG;NRE;NOR;;;224813.49;224813.49;0.00;0.00;11240.67;0.00;2614.11;17.5531;25.4231;30.4346;;0;0;0;0.0601;0.00
83818910473;BCO07CRD000001520;REG;RES;NOR;;;4850360.90;4850360.90;0.00;0.00;242518.05;0.00;73490.32;15.9513;20.3240;27.3666;;0;0;0;2.5879;0.00
72912023648;BCO07CRD000001437;VEN;NRE;NOR;;;190764.81;140703.63;50061.18;5006.12;9538.24;1435.45;1852.09;12.5843;19.0005;29.5074;04-10-2025;286;286;4;1.2774;0.00
63423249719;BCO07CRD000001355;REG;NRE;NOR;;;1302337.80;1302337.80;0.00;0.00;65116.89;0.00;108528.15;12.4966;14.4437;23.3035;;0;0;0;1.3396;0.00
08497637230;BCO07CRD000001202;REG;NRE;NOR;;;1384509.98;1384509.98;0.00;0.00;69225.50;0.00;18217.24;17.8877;19.8793;27.7414;;0;0;0;1.1951;0.00
