NUIB;Número do cliente;Código da agência bancária;Designação da agência bancária;Referência do pedido;Referência do crédito;Canal de submissão;Data da submissão;Resultado da apreciação do pedido;Motivo da rejeição;Tipo de cliente em relação à operação;Tipo de crédito;Âmbito de crédito;Cliente entidade correlacionada;Código do produto de crédito;Designação do produto de crédito;Tipo de amortização;Modalidade do crédito;Indicador crédito verde;Finalidade do crédito;Montante solicitado;Montante aprovado;Moeda da operação;Data da contratação;Data efectiva do 1º desembolso/ utilização;Data do 1º pagamento de capital;Período de deferimento;Data de maturidade;Número de prestações;Frequência de reembolsos;Tipo de taxas de juros;Taxa de juro de referência;Spread da taxa de juros;Comissão do crédito por assinatura;Cedência da operação;Crédito Segurado;Operação vinculada ao sindicato;Local de utilização;Latitude;Longitude;Actividade económica;Origem de recursos;Percentagem dos recursos consignados
90147952225;CLI778369735017724600;AG011609;Agência Sanga;BCO07PED000000001;BCO07CRD000000001;D;13-06-2025;A;;E;1;3;N;EMP01;EMP01 Produto de crédito;IRR;101;VER;206;16812938.04;12294162.92;MZN;18-06-2025;19-06-2025;19-07-2025;74;12-12-2026;29;4;2;7;3.2645;10848.51;N;S;N;011604;-13.9196;36.5260;49230;P;
64273911423;CLI020069829783386921;AG070802;Agência Gorongosa;BCO07PED000000002;BCO07CRD000000002;O;17-07-2025;A;;N;1;2;N;HAB01;HAB01 Produto de crédito;BUL;400;NVE;204;2297665.93;1487701.85;MZN;07-08-2025;15-08-2025;14-09-2025;71;02-05-2033;26;2;1;8;3.4738;7539.32;S;S;S;070803;-24.5490;32.1157;47300;C;
55432055517;CLI777520568922201434;AG042204;Agência Mulevala;BCO07PED000000003;BCO07CRD000000003;A;05-04-2025;A;;N;1;2;N;COM01;COM01 Produto de crédito;JUR;101;NVE;102;1812401.40;1599819.51;MZN;09-04-2025;15-04-2025;15-05-2025;141;20-02-2026;63;9;1;8;8.2689;16847.99;S;S;S;042202;-17.7071;39.2950;55101;M;71.70
73113859917;CLI546347564598626899;AG080302;Agência Govuro;BCO07PED000000004;BCO07CRD000000004;O;17-05-2025;A;;N;1;3;N;PME01;PME01 Produto de crédito;FIA;204;NVE;110;543620.96;533337.80;MZN;08-06-2025;09-06-2025;09-07-2025;65;10-06-2031;17;9;1;8;11.6089;13997.15;S;S;S;080302;-15.9075;35.4642;01110;C;
84727539047;CLI451246122875789372;AG090208;Agência Bilene;BCO07PED000000005;BCO07CRD000000005;A;17-02-2025;A;;N;1;2;N;PME01;PME01 Produto de crédito;BUL;200;NVE;100;329731.12;300663.37;MZN;16-03-2025;19-03-2025;18-04-2025;18;07-11-2034;31;1;1;6;11.6624;17076.87;N;N;N;090203;-21.4372;31.7145;56101;M;85.33
34218943075;CLI212031940673196252;AG021308;Agência Namuno;BCO07PED000000006;BCO07CRD000000006;A;30-05-2025;A;;N;1;3;N;AGR01;AGR01 Produto de crédito;IRR;102;NVE;109;899415.47;632252.95;MZN;08-06-2025;18-06-2025;18-07-2025;20;04-09-2034;39;9;1;8;9.0598;13866.51;S;N;N;021305;-20.7724;31.5428;56101;C;
62093301449;CLI741551928311687712;AG010803;Agência Maúa;BCO07PED000000007;BCO07CRD000000007;P;11-06-2025;A;;E;1;3;N;EMP01;EMP01 Produto de crédito;OUT;403;NVE;200;3175222.76;2709124.08;MZN;29-06-2025;03-07-2025;02-08-2025;156;18-01-2035;59;9;1;8;2.5841;12519.20;S;N;S;010801;-14.8838;32.5645;47110;C;
52665957497;CLI024687621607385156;AG030602;Agência Malema;BCO07PED000000008;BCO07CRD000000008;A;23-03-2025;A;;N;1;3;N;AGR01;AGR01 Produto de crédito;SLA;404;NVE;103;1679762.07;1357638.76;USD;25-03-2025;29-03-2025;28-04-2025;82;05-02-2027;34;5;1;4;6.2145;14897.21;S;N;S;030601;-16.6962;34.3806;64190;M;63.11
42420633936;CLI172844392070616515;AG081101;Agência Morrumbene;BCO07PED000000009;BCO07CRD000000009;D;27-05-2025;A;;N;1;3;N;COM01;COM01 Produto de crédito;BUL;300;NVE;105;575892.07;533683.62;MZN;02-06-2025;11-06-2025;11-07-2025;101;30-07-2030;58;9;2;5;3.6253;2926.15;N;S;S;081102;-24.9523;34.6629;47730;M;69.44
90117791399;CLI113048344682110137;AG020305;Agência Balama;BCO07PED000000010;BCO07CRD000000010;P;23-11-2025;A;;N;1;3;N;PES01;PES01 Produto de crédito;JUR;202;NVE;101;2139790.72;1187096.93;MZN;14-12-2025;22-12-2025;21-01-2026;62;11-07-2032;21;7;1;2;8.2019;1282.23;N;S;N;020304;-24.8809;34.9706;86100;M;37.76
77171808790;CLI334078187850888957;AG031905;Agência Nacaroa;BCO07PED000000011;BCO07CRD000000011;P;17-06-2025;A;;E;1;3;N;EMP01;EMP01 Produto de crédito;JUR;203;NVE;206;3217440.78;1932334.57;MZN;05-07-2025;07-07-2025;06-08-2025;123;30-09-2031;46;3;2;6;3.4186;2881.18;S;S;N;031901;-15.5161;33.3655;01110;C;
98051623515;CLI085482352374639166;AG100602;Agência Matutuine;BCO07PED000000012;BCO07CRD000000012;P;02-02-2025;A;;N;1;3;C;EMP01;EMP01 Produto de crédito;JUR;300;NVE;111;414701.50;411713.94;MZN;25-02-2025;05-03-2025;04-04-2025;129;02-09-2028;22;5;1;7;8.1328;12663.92;N;S;N;100604;-18.9718;38.1882;47300;P;
13726933690;CLI605712794906825739;AG060305;Agência Gondola;BCO07PED000000013;BCO07CRD000000013;A;24-06-2025;A;;E;1;3;N;HAB01;HAB01 Produto de crédito;JUR;404;NVE;202;5517839.95;4448458.66;MZN;04-07-2025;07-07-2025;06-08-2025;59;26-07-2029;11;9;1;6;4.2886;1770.32;N;S;S;060302;-24.7059;33.6572;49230;P;
