NUIB;ID da transacção;ID da Agência bancária;NIB de débito;Data e hora de operação;Tipo de Operação;Moeda;Valor;Valor na moeda original;Comissão;NIB de crédito;Número de telemóvel de crédito
20804586912;BCO06TIB0000000001;AG030507;064858156781701717692;09-04-2025 14:21:10;02;MZN;179339.26;179339.26;1677.79;085623280239140192937;842432796
85812418011;BCO06TIB0000000002;AG051501;068338977442676595994;27-05-2025 08:10:20;03;MZN;22618.31;22618.31;411.22;272942683408965358380;840607534
98865511031;BCO06TIB0000000003;AG060109;068597197897760458003;08-12-2025 08:06:30;01;MZN;182370.11;182370.11;225.65;089283200392616168060;871757996
37503412509;BCO06TIB0000000004;AG010303;063706180999787220028;18-11-2025 13:23:40;03;MZN;65527.19;65527.19;925.57;056793711717295372778;852481862
68050655985;BCO06TIB0000000005;AG051005;063591092199384073939;01-07-2025 10:10:10;02;MZN;37473.65;37473.65;158.64;594838173792875067504;867748635
17489733129;BCO06TIB0000000006;AG070904;064175735692375142537;14-09-2025 09:21:12;03;MZN;47705.88;47705.88;827.51;051036503458171694824;868878259
47157796336;BCO06TIB0000000007;AG090904;060264970468988800280;04-09-2025 11:13:37;02;MZN;1308636.89;1308636.89;16222.41;390687584305480146212;874924707
23024116459;BCO06TIB0000000008;AG031908;063070796205477837455;02-06-2025 15:52:54;01;MZN;52052.37;52052.37;256.51;288666496655772554365;827889285
64612105654;BCO06TIB0000000009;AG051106;060184118774255968404;30-10-2025 08:48:25;03;MZN;9891.69;9891.69;0.68;046233701528597442737;863950703
54889492718;BCO06TIB0000000010;AG031706;063796332570771996574;08-07-2025 14:09:42;01;MZN;699284.32;699284.32;7993.61;314590885777870055096;844397424
15090376864;BCO06TIB0000000011;AG041409;063630980215742829733;09-08-2025 12:31:04;02;MZN;52707.01;52707.01;497.25;153509390726768672904;846837908
64645044462;BCO06TIB0000000012;AG031603;062481850027085924169;25-03-2025 10:22:01;03;ZAR;19793.69;314.19;141.22;963495958277591618765;843747609
40456208411;BCO06TIB0000000013;AG050302;062194469510483256503;25-08-2025 14:03:34;03;MZN;93822.50;93822.50;1275.60;875800821611384884749;861954673
57519040232;BCO06TIB0000000014;AG061109;064783309438921094779;03-09-2025 10:36:07;02;MZN;32476.76;32476.76;624.98;310940374909939644460;825490915
77932847548;BCO06TIB0000000015;AG030808;060956692079428706066;15-09-2025 12:28:51;02;MZN;18731.50;18731.50;170.23;844075942434055267975;846842291
91443125827;BCO06TIB0000000016;AG050305;065585297751287087738;09-07-2025 08:42:11;01;MZN;61628.84;61628.84;586.40;505855354903386684129;827676596
24390772162;BCO06TIB0000000017;AG070205;062484836675331868056;14-05-2025 14:22:44;03;MZN;90311.49;90311.49;171.54;335423445475895035348;871009930
31736678805;BCO06TIB0000000018;AG031809;062997945697126583209;04-05-2025 08:11:04;01;MZN;1113629.66;1113629.66;20630.05;576983709603542489464;856379084
82770039436;BCO06TIB0000000019;AG100609;065898498704453268863;24-03-2025 13:02:07;01;USD;2490952.46;39538.93;21207.79;856031299697849230232;856130527
23069885699;BCO06TIB0000000020;AG030905;061690603116492066754;03-11-2025 12:31:51;01;MZN;113501.54;113501.54;1666.15;082477054784431996164;861300919
16198792039;BCO06TIB0000000021;AG032106;061636131997400033184;12-12-2025 13:39:59;01;MZN;9419.88;9419.88;86.67;333850646698053649023;851149738
75443000669;BCO06TIB0000000022;AG032005;066611541315181344335;18-10-2025 12:52:49;02;MZN;1259924.21;1259924.21;20538.98;935903518120908221143;842247560
60482903328;BCO06TIB0000000023;AG100201;060489928320651266686;28-01-2025 13:51:11;01;MZN;40347.77;40347.77;783.45;385532749033276941375;826444903
55363428863;BCO06TIB0000000024;AG031206;067862520862200163986;28-12-2025 08:37:06;02;MZN;7057.31;7057.31;63.18;024052424903146832986;849796252
93278137076;BCO06TIB0000000025;AG070306;062765016206561345227;16-09-2025 12:01:56;02;MZN;93510.61;93510.61;1303.40;185959237869818073322;829408282
80631795147;BCO06TIB0000000026;AG100303;061331778527207513397;01-01-2025 15:25:18;03;USD;104141.41;1653.04;2046.42;859909780965026645591;829458386
04291771891;BCO06TIB0000000027;AG040108;066943655722919925855;02-03-2025 16:01:24;03;MZN;39895.31;39895.31;627.75;568165376965964401167;853187873
11139728770;BCO06TIB0000000028;AG070509;069504975044153339001;11-09-2025 12:10:46;03;MZN;600147.69;600147.69;7335.21;188054183351986730465;825093869
75930834616;BCO06TIB0000000029;AG041205;060399665596066077390;05-12-2025 11:55:57;03;MZN;17413.32;17413.32;174.67;748584335645474613413;852608894
75590532012;BCO06TIB0000000030;AG051104;065207354677477249348;14-06-2025 15:32:15;03;MZN;641745.63;641745.63;9188.46;263599922443160331460;824442811
25858648438;BCO06TIB0000000031;AG070608;063672847951642686818;05-09-2025 16:28:38;03;MZN;446543.26;446543.26;939.17;978460567699125020863;871523991
