ID da transacção;ID do Ponto;Data e hora de operação;Valor (MT);Comissão (MT);PAN;NIB de débito;Número de telefone de débito
BCO06TPOS0000000001;BCO06POS0000113;25-11-2025 19:03:57;3145.77;40.43;0855074059933623514;066227550677398946974;859977299
BCO06TPOS0000000002;BCO06POS0000171;21-11-2025 08:20:37;206.34;0.25;9085959115879079020;066677909525908430910;820417357
BCO06TPOS0000000003;BCO06POS0000033;15-01-2025 21:28:49;3419.35;7.53;1571248379083132906;062152528896064503876;845633145
BCO06TPOS0000000004;BCO06POS0000154;04-12-2025 21:31:09;750.73;4.06;2331345066428223108;062758960948910003628;877074467
BCO06TPOS0000000005;BCO06POS0000009;01-05-2025 01:05:22;1680.08;14.08;0681481505990367687;061872135822809985117;840986961
BCO06TPOS0000000006;BCO06POS0000139;02-12-2025 08:29:17;977.24;9.78;2458140482885207710;060010795505478733786;867620999
BCO06TPOS0000000007;BCO06POS0000058;08-06-2025 22:29:53;1481.77;1.62;1379590735915922341;061848951113297589490;829880856
BCO06TPOS0000000008;BCO06POS0000170;06-02-2025 13:08:50;964.69;3.89;1362043833827848948;065850174905482112142;845050081
BCO06TPOS0000000009;BCO06POS0000110;07-03-2025 17:19:34;1235.59;16.94;2693324880918388432;069283894146264948849;845992584
BCO06TPOS0000000010;BCO06POS0000151;15-10-2025 09:07:25;241.95;3.14;4201699991672823387;066048482990937900136;863406789
BCO06TPOS0000000011;BCO06POS0000035;24-03-2025 12:28:19;1071.51;24.85;6920921417124872738;060208726575389055402;822570884
BCO06TPOS0000000012;BCO06POS0000007;06-09-2025 08:21:44;716.09;8.01;1786682489811460046;063883292736775689037;863076723
BCO06TPOS0000000013;BCO06POS0000083;25-06-2025 07:44:49;2867.95;29.80;5276232914204891054;060183143663423094889;871441510
BCO06TPOS0000000014;BCO06POS0000166;10-02-2025 16:07:32;550.13;3.06;3057267889262878939;069496632234758063188;843134853
BCO06TPOS0000000015;BCO06POS0000005;25-12-2025 10:12:30;6626.72;123.29;0550890852225438773;061208351325802212322;840082753
BCO06TPOS0000000016;BCO06POS0000074;27-01-2025 17:49:04;1405.88;18.26;0670649883668583323;060050191039524448366;869353036
BCO06TPOS0000000017;BCO06POS0000119;19-02-2025 20:22:10;1941.34;42.58;1373608203404412183;066786386935014688819;857893457
BCO06TPOS0000000018;BCO06POS0000077;15-07-2025 15:07:36;975.30;15.88;1436803485305594935;068366335608218017859;870593263
BCO06TPOS0000000019;BCO06POS0000122;17-01-2025 16:38:33;415.77;7.21;5499528693798259600;067216593666565717474;864038162
BCO06TPOS0000000020;BCO06POS0000128;14-09-2025 10:16:24;1236.39;3.54;4492044340301018233;060421154840645944872;852487947
BCO06TPOS0000000021;BCO06POS0000101;04-03-2025 18:07:02;2353.48;22.32;3926390326948219706;060691004151365753884;875932172
BCO06TPOS0000000022;BCO06POS0000033;29-10-2025 10:32:48;8040.40;68.39;6689286696848655834;069823533940531537737;847653904
BCO06TPOS0000000023;BCO06POS0000101;24-06-2025 12:35:28;2286.36;15.99;5018064225665789102;061441149050584669974;847789077
BCO06TPOS0000000024;BCO06POS0000130;22-06-2025 16:18:54;373.78;4.24;9206205206846240238;066875596977224918621;849719966
BCO06TPOS0000000025;BCO06POS0000038;03-06-2025 18:17:07;687.13;13.53;6970529385838683272;062815880961684799224;828355104
BCO06TPOS0000000026;BCO06POS0000039;04-12-2025 11:22:45;1138.97;16.46;5719431511790507057;067841708269595827050;876642394
BCO06TPOS0000000027;BCO06POS0000032;08-08-2025 20:34:47;240.08;0.91;1473141866474033341;065082580603407027768;854465690
BCO06TPOS0000000028;BCO06POS0000138;26-12-2025 07:24:17;3325.43;33.07;0650105331572305898;062588562545407194344;844655738
BCO06TPOS0000000029;BCO06POS0000174;08-11-2025 21:06:27;184.66;2.72;1820754202911255222;069087272769496665303;869551249
BCO06TPOS0000000030;BCO06POS0000081;02-11-2025 17:57:28;390.33;2.44;8902533899590373868;064332889505200643628;826748924
BCO06TPOS0000000031;BCO06POS0000019;17-12-2025 17:43:15;850.10;14.98;9682860307996214706;062846626782667291752;844604654
BCO06TPOS0000000032;BCO06POS0000018;22-02-2025 16:41:02;3060.27;64.98;0508247259332168945;060245043994549622209;848821567
BCO06TPOS0000000033;BCO06POS0000156;14-10-2025 17:23:52;169.81;1.47;3965053873395431765;063668869125904067736;825786149
BCO06TPOS0000000034;BCO06POS0000137;13-03-2025 12:34:01;1037.08;19.62;7977326040284658503;062570888999157073767;849150727
BCO06TPOS0000000035;BCO06POS0000003;18-02-2025 18:43:14;8327.39;54.57;2121610631416852308;069353877364872149634;866035624
BCO06TPOS0000000036;BCO06POS0000023;02-05-2025 13:09:40;320.94;7.91;1160412667106016648;068533325130462344580;849469354
BCO06TPOS0000000037;BCO06POS0000047;31-03-2025 02:48:39;561.01;1.60;6207192428012259008;060672542554807415735;859136630
BCO06TPOS0000000038;BCO06POS0000096;20-03-2025 21:50:32;865.11;6.38;0470330066171986497;060903394310844999403;859469571
BCO06TPOS0000000039;BCO06POS0000155;30-06-2025 07:31:34;233.45;5.51;3982643666799184208;061236138816925029338;820116688
BCO06TPOS0000000040;BCO06POS0000040;08-06-2025 10:52:55;4496.64;27.10;7811784642734410624;063815986337587161831;869333913
