NIB;NUIB do Titular;IBAN;Agência / ID Ponto;Agente / ID Ponto;Tipo de Conta;Moeda;Titularidade;Tipo de Titular;Regime de movimentação;Sector de Actividade do Titular;Dimensão da Empresa titular;Volume de Negócios da Empresa titular;Número de trabalhadores da empresa titular;Tipo de classificação da necessidade especial/deficiência;Canal preferencial de acesso à conta;Estado da Conta;Motivo de alteração do Estado;Data da última actualização do estado;Data de Abertura;Data de Encerramento;Data da Última Operação;Data da Última Actualização dos dados;Canal de Abertura;Frequência de utilização da conta;Regime de Abertura;Pessoa Politicamente Exposta  (PEP)
058099094196005402207;15100433180;MZ5905809909419600540220783565829350;AG070705;;02;MZN;01;01;01;55101;00;0.00;0;02;04;01;00;12-05-2025;09-09-2019;;;12-05-2025;04;05;G;N
059924332055585351068;33385904241;MZ5905992433205558535106815064206014;AG040107;;01;MZN;01;01;03;64190;00;0.00;0;02;02;01;00;14-11-2025;14-10-2025;;;14-11-2025;02;01;G;N
052835459698991642471;31337976090;MZ5905283545969899164247184686868906;AG091107;;02;MZN;01;01;01;47210;00;0.00;0;01;02;02;16;18-05-2025;14-01-2020;;;18-05-2025;02;02;G;N
055920679980658315662;55113237060;MZ5905592067998065831566287817073943;AG070709;;01;USD;01;01;03;55101;00;0.00;0;01;03;01;00;21-04-2025;11-10-2020;;;21-04-2025;03;01;S;S
059019998077610688283;90807781598;MZ5905901999807761068828365395228180;AG100602;;01;MZN;01;01;02;55101;00;0.00;0;01;05;01;00;31-03-2025;04-10-2019;;;31-03-2025;05;01;G;N
056461754301477933885;39094762945;MZ5905646175430147793388538201009112;AG100406;;02;MZN;01;01;02;85210;00;0.00;0;02;05;01;00;24-12-2025;23-02-2021;;;24-12-2025;05;01;S;N
050824112629903386670;69741580329;MZ5905082411262990338667086275166329;AG070907;;01;MZN;01;01;05;49230;00;0.00;0;01;01;04;08;08-01-2025;21-02-2024;;;08-01-2025;01;04;G;N
054902235476221084823;93156852911;MZ5905490223547622108482388468924977;AG031604;;01;MZN;01;01;03;55101;00;0.00;0;02;04;01;00;06-04-2025;28-10-2019;;;06-04-2025;04;02;S;N
051270651876704728725;05152937336;MZ5905127065187670472872564971763503;AG090704;;02;MZN;01;01;04;55101;00;0.00;0;01;03;01;00;13-12-2025;05-04-2017;;;13-12-2025;03;04;G;N
052406555613629988404;59627652147;MZ5905240655561362998840441175730787;AG071308;;01;ZAR;01;01;05;85210;00;0.00;0;02;03;01;00;20-03-2025;13-10-2019;;;20-03-2025;03;01;S;N
055619846127921149678;99722034399;MZ5905561984612792114967896084134985;AG030609;;04;ZAR;03;02;04;85210;01;23650498.35;320;00;02;03;03;26-10-2025;30-10-2021;;;26-10-2025;02;01;S;N
