NUIB;Número do cliente;Código da agência bancária;Designação da agência bancária;Referência do pedido;Referência do crédito;Canal de submissão;Data da submissão;Resultado da apreciação do pedido;Motivo da rejeição;Tipo de cliente em relação à operação;Tipo de crédito;Âmbito de crédito;Cliente entidade correlacionada;Código do produto de crédito;Designação do produto de crédito;Tipo de amortização;Modalidade do crédito;Indicador crédito verde;Finalidade do crédito;Montante solicitado;Montante aprovado;Moeda da operação;Data da contratação;Data efectiva do 1º desembolso/ utilização;Data do 1º pagamento de capital;Período de deferimento;Data de maturidade;Número de prestações;Frequência de reembolsos;Tipo de taxas de juros;Taxa de juro de referência;Spread da taxa de juros;Comissão do crédito por assinatura;Cedência da operação;Crédito Segurado;Operação vinculada ao sindicato;Local de utilização;Latitude;Longitude;Actividade económica;Origem de recursos;Percentagem dos recursos consignados
06962707591;CLI838759011926956387;AG030801;Agência Mecuburi;BCO05PED000000001;BCO05CRD000000001;P;14-08-2025;A;;N;1;3;N;HAB01;HAB01 Produto de crédito;FIA;403;NVE;104;1972382.01;1940087.51;MZN;19-08-2025;27-08-2025;26-09-2025;173;03-03-2032;47;6;1;4;5.0397;2189.03;N;N;N;030804;-18.4990;32.8797;47210;M;61.83
46617625144;CLI150386462188643260;AG070806;Agência Gorongosa;BCO05PED000000002;BCO05CRD000000002;A;29-05-2025;R;60;N;1;3;N;COM01;COM01 Produto de crédito;IRR;300;NVE;109;347607.25;0.00;MZN;;;;70;;0;4;2;4;6.7416;15783.07;N;N;N;070801;-14.5156;33.3774;86100;P;
82454446486;CLI543473412945850480;AG080509;Agência Inharrime;BCO05PED000000003;BCO05CRD000000003;P;03-01-2025;A;;N;1;3;N;HAB01;HAB01 Produto de crédito;SLA;103;NVE;104;2092300.11;1194180.76;MZN;25-01-2025;04-02-2025;06-03-2025;144;15-10-2029;66;7;1;3;8.2229;13109.92;S;S;N;080502;-16.1683;33.1381;47730;P;
53648592247;CLI903640354569229849;AG090503;Agência Chigubo;BCO05PED000000004;BCO05CRD000000004;A;11-10-2025;P;;N;1;2;N;HAB01;HAB01 Produto de crédito;OUT;103;NVE;104;965009.82;0.00;MZN;;;;126;;0;7;1;4;4.0365;11214.25;N;S;S;090502;-16.6458;31.0490;96020;P;
26359407496;CLI845803364293013826;AG030105;Agência Nampula;BCO05PED000000005;BCO05CRD000000005;O;02-06-2025;R;12;N;1;3;N;PES01;PES01 Produto de crédito;BUL;202;NVE;110;377279.85;0.00;MZN;;;;84;;0;8;1;2;6.1736;1469.47;S;N;S;030107;-22.4164;34.3933;01130;P;
59969814604;CLI280296908926771733;AG090107;Agência Xai-Xai;BCO05PED000000006;BCO05CRD000000006;P;12-09-2025;P;;N;1;3;N;COM01;COM01 Produto de crédito;IRR;300;NVE;105;639760.51;0.00;MZN;;;;125;;0;6;1;8;10.5363;3084.10;S;S;N;090103;-22.4935;39.1911;96020;C;
12911884089;CLI961683214018032996;AG070107;Agência Cidade da Beira;BCO05PED000000007;BCO05CRD000000007;O;11-06-2025;A;;N;1;1;C;COM01;COM01 Produto de crédito;IRR;102;NVE;100;305325.26;240855.55;MZN;05-07-2025;05-07-2025;04-08-2025;47;14-10-2028;84;2;2;6;6.0114;9709.18;N;N;N;070104;-15.0153;31.5883;01110;P;
35723470677;CLI531706836583150037;AG040304;Agência Chinde;BCO05PED000000008;BCO05CRD000000008;D;18-06-2025;A;;N;1;3;N;EMP01;EMP01 Produto de crédito;IRR;102;NVE;109;1127392.46;929281.98;USD;11-07-2025;20-07-2025;19-08-2025;117;18-10-2033;84;9;1;6;8.3498;2021.40;N;N;S;040301;-14.1474;34.2032;49230;P;
74649457498;CLI621313028560556370;AG100309;Agência Magude;BCO05PED000000009;BCO05CRD000000009;A;22-02-2025;A;;N;1;3;N;PES01;PES01 Produto de crédito;OUT;300;NVE;104;865642.37;857833.57;MZN;21-03-2025;23-03-2025;22-04-2025;143;14-09-2032;66;8;3;1;5.3041;9688.77;N;N;S;100303;-17.7514;33.0687;47730;M;53.98
39169316410;CLI683738339706750694;AG051508;Agência Marara;BCO05PED000000010;BCO05CRD000000010;A;06-03-2025;A;;N;3;3;N;COM01;COM01 Produto de crédito;OUT;202;NVE;107;590953.18;490654.19;MZN;26-03-2025;30-03-2025;29-04-2025;175;23-04-2032;62;9;1;7;8.1439;7985.88;N;S;N;051502;-17.8371;33.9100;96020;P;
71727267087;CLI147918922720222469;AG100507;Agência Marracuene;BCO05PED000000011;BCO05CRD000000011;A;14-02-2025;A;;N;1;3;N;COM01;COM01 Produto de crédito;OUT;401;NVE;107;583978.66;512140.73;MZN;26-02-2025;07-03-2025;06-04-2025;36;30-12-2032;56;3;2;7;7.6513;6110.87;N;S;N;100501;-24.3008;38.5989;47110;P;
17679918373;CLI159374491941684362;AG021006;Agência Montepuez;BCO05PED000000012;BCO05CRD000000012;P;18-09-2025;P;;N;1;3;N;EMP01;EMP01 Produto de crédito;JUR;101;NVE;111;1219225.27;0.00;USD;;;;87;;0;5;1;2;7.4985;11699.09;N;N;N;021003;-18.3714;34.3816;85210;M;25.62
84033299675;CLI835365050343466933;AG100601;Agência Matutuine;BCO05PED000000013;BCO05CRD000000013;P;09-08-2025;P;;E;1;3;N;PME01;PME01 Produto de crédito;IRR;403;NVE;200;10574406.23;0.00;MZN;;;;53;;0;5;3;8;5.7210;11987.40;S;N;N;100605;-14.0310;36.5313;96020;P;
25438036484;CLI335950560378170740;AG050208;Agência Angónia;BCO05PED000000014;BCO05CRD000000014;D;07-01-2025;R;31;N;1;3;N;HAB01;HAB01 Produto de crédito;SLA;200;NVE;101;404025.46;0.00;MZN;;;;40;;0;3;1;3;8.3213;15089.14;N;S;S;050202;-19.7212;39.9349;41000;P;
20895848206;CLI131323873713039978;AG070309;Agência Caia;BCO05PED000000015;BCO05CRD000000015;A;27-08-2025;A;;N;1;3;N;AGR01;AGR01 Produto de crédito;JUR;100;NVE;102;434972.01;332278.43;MZN;23-09-2025;26-09-2025;26-10-2025;170;23-02-2029;40;7;2;5;11.2261;15880.54;S;N;S;070301;-23.8424;31.8748;47210;P;
24026399509;CLI654111959598485585;AG031105;Agência Mogovolas;BCO05PED000000016;BCO05CRD000000016;A;05-05-2025;A;;N;3;3;N;HAB01;HAB01 Produto de crédito;IRR;404;NVE;200;5583723.55;5183301.21;MZN;13-05-2025;17-05-2025;16-06-2025;97;11-05-2030;56;1;1;2;4.2034;7634.90;N;S;S;031101;-25.6396;38.9748;64190;M;15.41
04557311705;CLI380962112196260349;AG081406;Agência Zavala;BCO05PED000000017;BCO05CRD000000017;D;26-05-2025;A;;N;1;2;N;PME01;PME01 Produto de crédito;JUR;103;NVE;101;466192.76;324470.15;MZN;22-06-2025;24-06-2025;24-07-2025;104;02-11-2029;66;4;1;7;6.4104;6309.37;N;N;N;081401;-11.0725;34.3486;47300;P;
27114005652;CLI917453875968119868;AG081301;Agência Vilankulo;BCO05PED000000018;BCO05CRD000000018;P;03-05-2025;A;;N;1;3;N;PME01;PME01 Produto de crédito;JUR;204;NVE;102;125820.83;91603.82;MZN;26-05-2025;03-06-2025;03-07-2025;120;26-01-2035;84;2;1;3;7.2439;2763.76;S;S;N;081302;-24.6058;33.2166;96020;P;
97530796193;CLI086353069582942421;AG080808;Agência Mabote;BCO05PED000000019;BCO05CRD000000019;O;31-01-2025;P;;N;1;3;N;PES01;PES01 Produto de crédito;JUR;100;VER;103;1793513.99;0.00;MZN;;;;83;;0;4;1;1;8.2695;3988.46;S;N;S;080803;-15.3691;37.3365;49230;C;
72478015197;CLI547495015956524402;AG050205;Agência Angónia;BCO05PED000000020;BCO05CRD000000020;P;13-03-2025;R;31;N;2;3;N;HAB01;HAB01 Produto de crédito;OUT;101;NVE;101;1860074.14;0.00;MZN;;;;81;;0;5;2;6;9.6769;16050.12;S;N;S;050201;-16.8889;39.5092;01130;P;
98656116648;CLI993447081555276092;AG070302;Agência Caia;BCO05PED000000021;BCO05CRD000000021;A;10-06-2025;A;;N;1;3;N;PME01;PME01 Produto de crédito;SLA;204;VER;105;905218.27;590913.66;MZN;11-06-2025;21-06-2025;21-07-2025;73;06-07-2034;17;8;2;3;8.9153;19378.65;N;N;S;070301;-23.5940;38.4121;01130;C;
68140761122;CLI447646492815980765;AG031708;Agência Nacala Porto;BCO05PED000000022;BCO05CRD000000022;D;01-06-2025;P;;N;1;3;N;EMP01;EMP01 Produto de crédito;SLA;101;NVE;104;896259.68;0.00;MZN;;;;4;;0;8;1;3;9.8581;19272.16;S;N;N;031701;-22.4324;36.5218;86100;M;32.61
14018484796;CLI878663103218859727;AG040106;Agência Quelimane;BCO05PED000000023;BCO05CRD000000023;A;28-05-2025;A;;N;1;3;N;EMP01;EMP01 Produto de crédito;JUR;200;NVE;100;319570.30;266591.07;MZN;23-06-2025;30-06-2025;30-07-2025;87;30-08-2032;41;6;2;2;6.1527;13614.10;S;S;N;040102;-16.5660;34.5226;85210;P;
40281581487;CLI562723404339436572;AG100204;Agência Boane;BCO05PED000000024;BCO05CRD000000024;D;21-05-2025;A;;N;1;3;N;COM01;COM01 Produto de crédito;OUT;204;NVE;100;223761.94;138147.26;MZN;22-05-2025;26-05-2025;25-06-2025;94;26-03-2032;17;3;1;2;3.6015;8530.40;N;S;S;100202;-15.2104;37.7728;64190;C;
12255154179;CLI438346323144562095;AG100401;Agência Manhica;BCO05PED000000025;BCO05CRD000000025;D;30-04-2025;A;;N;1;2;N;PME01;PME01 Produto de crédito;BUL;100;NVE;103;1251580.14;937451.34;MZN;22-05-2025;24-05-2025;23-06-2025;136;18-12-2027;7;5;1;5;4.3079;8306.44;N;S;S;100401;-18.5017;39.2148;55101;C;
