ID da transacção;ID do Ponto;Data e hora de operação;Valor (MT);Comissão (MT);PAN;NIB de débito;Número de telefone de débito
BCO05TPOS0000000001;BCO05POS0000043;14-04-2025 23:40:40;1261.84;26.92;6467419456931908315;056314125953281097581;829397501
BCO05TPOS0000000002;BCO05POS0000135;03-12-2025 09:04:57;1276.60;6.30;1492686446847210570;058069213266390726592;860916855
BCO05TPOS0000000003;BCO05POS0000052;05-05-2025 14:40:52;232.55;2.11;4823241502064757768;054910083055479346173;858781648
BCO05TPOS0000000004;BCO05POS0000024;17-07-2025 20:27:02;2999.60;16.14;9170842172416754334;059011170387908091573;840332529
BCO05TPOS0000000005;BCO05POS0000109;21-06-2025 10:29:08;1177.03;1.78;7775622842689535554;051328305772795991256;866454589
BCO05TPOS0000000006;BCO05POS0000025;14-12-2025 19:35:41;2517.23;44.72;7634258593648920579;054705050941903984028;824050842
BCO05TPOS0000000007;BCO05POS0000149;30-03-2025 18:12:03;153.07;2.36;6154582847020795905;050723275700077907546;820265497
BCO05TPOS0000000008;BCO05POS0000105;02-02-2025 09:03:57;1949.08;44.93;4594625087658493676;054523201892054318726;873523991
BCO05TPOS0000000009;BCO05POS0000033;25-07-2025 17:18:03;577.08;1.57;3430330957192568276;056423373016685713958;843085194
BCO05TPOS0000000010;BCO05POS0000144;14-03-2025 20:24:00;1612.23;17.41;0482578283579744253;053038063070728377643;869100644
BCO05TPOS0000000011;BCO05POS0000011;20-07-2025 19:41:49;229.29;4.26;5958593290548854961;055134362784409036980;860677880
BCO05TPOS0000000012;BCO05POS0000131;01-06-2025 10:42:03;2469.98;32.54;1790172458240458078;059122932404485206246;829658114
BCO05TPOS0000000013;BCO05POS0000076;23-05-2025 07:58:41;5756.87;14.55;1667666009240267583;053450468972618208827;853333363
BCO05TPOS0000000014;BCO05POS0000022;06-11-2025 08:22:07;452.45;4.04;6849262206707792953;052257248432121943536;841423401
BCO05TPOS0000000015;BCO05POS0000062;14-03-2025 16:21:14;1341.69;11.79;9512858655707027655;057735071445691421301;845800668
BCO05TPOS0000000016;BCO05POS0000001;16-02-2025 08:32:29;916.69;17.55;3733980735888613011;057878530740937400503;857094986
BCO05TPOS0000000017;BCO05POS0000081;18-10-2025 17:27:45;2279.35;21.08;4912494105210195161;058844487043398444313;845850630
BCO05TPOS0000000018;BCO05POS0000077;25-09-2025 13:14:00;216.00;5.17;2303929939035101188;059229405373230405261;853942452
BCO05TPOS0000000019;BCO05POS0000107;09-08-2025 17:26:06;581.04;9.11;7565233831342909117;051346990693194713419;869065602
BCO05TPOS0000000020;BCO05POS0000047;05-11-2025 18:32:00;441.74;10.40;3028325712936337374;051808099391164265119;828547492
BCO05TPOS0000000021;BCO05POS0000113;05-11-2025 12:41:47;5885.74;13.60;4569333732404747679;054013790658118271723;820428115
BCO05TPOS0000000022;BCO05POS0000166;13-09-2025 12:10:48;600.08;5.13;1653788689483591018;051015246050339279401;821363812
BCO05TPOS0000000023;BCO05POS0000144;09-03-2025 11:27:16;280.26;1.76;3086765828585650126;055801204175607812143;827854206
BCO05TPOS0000000024;BCO05POS0000025;25-02-2025 12:39:42;1696.32;38.79;8380760371310691709;053792231466170566549;863908329
BCO05TPOS0000000025;BCO05POS0000149;26-05-2025 18:00:13;1108.28;17.83;1699858461706337067;053680885768679701393;877164096
BCO05TPOS0000000026;BCO05POS0000145;19-10-2025 19:28:56;1152.31;13.63;9655621717029497017;055492965723479416257;822774222
BCO05TPOS0000000027;BCO05POS0000021;26-06-2025 11:33:53;593.77;11.26;8518624251344023435;056639996181664793699;844480183
BCO05TPOS0000000028;BCO05POS0000151;19-09-2025 16:58:45;9523.04;19.31;5390768123041553376;059711283904185072553;840482215
BCO05TPOS0000000029;BCO05POS0000043;23-09-2025 12:18:20;3907.01;67.44;5037049307706659878;057881769919909645163;828343268
BCO05TPOS0000000030;BCO05POS0000102;05-07-2025 14:54:08;6112.84;46.14;0930567278386205966;057738507257738348376;850342918
BCO05TPOS0000000031;BCO05POS0000199;04-01-2025 11:22:07;1576.20;23.26;5586424598619228339;050623267265190439386;873874994
BCO05TPOS0000000032;BCO05POS0000135;22-02-2025 17:05:54;228.72;2.93;7441717337320161160;051584775969267112295;863095417
BCO05TPOS0000000033;BCO05POS0000030;24-01-2025 15:24:50;315.99;3.24;7258278235468859273;059907311748229933652;874447129
BCO05TPOS0000000034;BCO05POS0000091;01-05-2025 01:42:07;789.90;6.27;0286142423123370892;057338073385979767540;841009987
BCO05TPOS0000000035;BCO05POS0000164;20-05-2025 09:52:54;896.78;9.56;7320145798981447031;058953173358983462293;878669394
BCO05TPOS0000000036;BCO05POS0000026;18-08-2025 16:09:40;1026.48;18.20;0734065251911117870;050962488430612417649;878550911
BCO05TPOS0000000037;BCO05POS0000102;20-01-2025 09:29:47;2948.08;9.58;7652005266586442586;057049334039588545473;853313265
BCO05TPOS0000000038;BCO05POS0000152;20-09-2025 19:42:33;453.73;2.84;5140495034265772036;057737166217967575587;868219524
BCO05TPOS0000000039;BCO05POS0000127;20-04-2025 17:08:00;1224.24;27.76;6489808210722402923;053098979989986785670;876031643
BCO05TPOS0000000040;BCO05POS0000023;01-12-2025 22:54:04;1575.86;16.56;2603460622129034422;053557060083636552713;856265402
BCO05TPOS0000000041;BCO05POS0000106;04-12-2025 14:04:30;5384.95;36.70;8400607022872033394;059505690143177641864;827842172
BCO05TPOS0000000042;BCO05POS0000104;09-02-2025 15:06:15;666.45;9.81;9762864157639302873;053221657628320991912;849806520
BCO05TPOS0000000043;BCO05POS0000011;03-04-2025 10:40:12;633.18;11.60;0017619532861807056;058677767622717291277;841042291
BCO05TPOS0000000044;BCO05POS0000196;19-08-2025 18:41:39;1411.99;33.92;8392520457360256831;055974437869532848195;842467449
BCO05TPOS0000000045;BCO05POS0000093;01-02-2025 09:20:56;1290.72;13.77;8487256934564352708;054659287335204257045;845364120
BCO05TPOS0000000046;BCO05POS0000141;05-10-2025 17:19:41;898.65;17.87;1223650875464948400;052659861722751478047;827198473
