ID da transacção;ID do Ponto;Data e hora de operação;Valor (MT);Comissão (MT);PAN;NIB de débito;Número de telefone de débito
BCO04TPOS0000000001;BCO04POS0000096;14-06-2025 15:02:02;6611.47;37.97;8619897049515814450;047239731005822603512;869698886
BCO04TPOS0000000002;BCO04POS0000195;31-05-2025 23:28:49;2268.26;38.23;4780141747862045262;048792645467639028435;858666817
BCO04TPOS0000000003;BCO04POS0000196;17-05-2025 18:16:44;5956.50;29.31;7449808541359637936;041585884033493904765;857657956
BCO04TPOS0000000004;BCO04POS0000238;26-07-2025 03:55:13;770.26;3.11;2922888506389751851;044900279356344384552;868557941
BCO04TPOS0000000005;BCO04POS0000167;02-10-2025 09:39:30;1271.99;23.67;9727879869852052732;045070585304050124170;850193610
BCO04TPOS0000000006;BCO04POS0000177;16-09-2025 09:15:51;167.44;3.18;7038054133546109671;046547196667293568654;847988867
BCO04TPOS0000000007;BCO04POS0000047;12-11-2025 14:28:19;4306.84;88.84;9910826663525067413;043346649903952997117;843951495
BCO04TPOS0000000008;BCO04POS0000240;14-01-2025 08:05:06;1550.84;9.88;0531984360596123472;042613751646385852163;858239227
BCO04TPOS0000000009;BCO04POS0000213;12-07-2025 12:27:41;673.17;8.47;6846415767199338732;043226998342616051183;865520090
BCO04TPOS0000000010;BCO04POS0000183;31-12-2025 15:32:37;568.25;4.11;7696487903082897456;045489745651285808315;871454282
BCO04TPOS0000000011;BCO04POS0000145;19-01-2025 09:23:08;1409.93;10.80;6314162838211152180;046105516406515318077;850276895
BCO04TPOS0000000012;BCO04POS0000039;18-10-2025 09:39:17;558.08;11.35;5906559543203593921;042919608257548905307;879503355
BCO04TPOS0000000013;BCO04POS0000065;10-06-2025 00:51:41;1606.62;35.00;2880672223315292139;044574609518060674213;859495442
BCO04TPOS0000000014;BCO04POS0000157;11-04-2025 17:10:21;2729.83;21.42;5295517648115204434;045347830358768899243;848636851
BCO04TPOS0000000015;BCO04POS0000094;08-09-2025 20:11:44;1411.52;26.19;0111777511946331144;048984539554465807034;828968782
BCO04TPOS0000000016;BCO04POS0000159;26-12-2025 16:24:05;497.55;7.37;2178126873144051271;047199232279366653066;876266447
BCO04TPOS0000000017;BCO04POS0000161;09-10-2025 15:54:52;424.75;3.62;8160849455614451964;047959192211463582497;874560514
BCO04TPOS0000000018;BCO04POS0000146;30-10-2025 11:46:50;8690.37;57.25;6826561961790321641;048341570500416885160;863762946
BCO04TPOS0000000019;BCO04POS0000043;30-07-2025 20:13:46;48405.70;591.47;8577439937740041068;047924103834842108763;863549383
BCO04TPOS0000000020;BCO04POS0000179;30-06-2025 11:27:23;10463.67;62.93;1954756194535046617;046230531058117679945;823607153
BCO04TPOS0000000021;BCO04POS0000051;29-09-2025 12:10:22;650.53;12.57;3134543008581337826;045509116586680346069;871268021
BCO04TPOS0000000022;BCO04POS0000135;12-04-2025 14:20:04;250.65;4.32;2437415795719521184;046710089316702259297;847521497
BCO04TPOS0000000023;BCO04POS0000132;12-07-2025 07:22:07;2187.01;16.61;8388641265885424288;044573870777034668479;845757519
BCO04TPOS0000000024;BCO04POS0000209;13-04-2025 10:16:45;3815.16;87.72;2678687734806373341;047279253989492491958;841287839
BCO04TPOS0000000025;BCO04POS0000043;23-07-2025 22:20:52;9771.68;93.49;2614869869669436338;043168045420788011314;862119948
BCO04TPOS0000000026;BCO04POS0000152;20-11-2025 22:10:15;8288.22;123.27;4045575802349045421;040632593329653412366;854287895
BCO04TPOS0000000027;BCO04POS0000194;31-07-2025 23:53:32;959.41;5.46;4375505555200021813;045955654467748714521;825126057
BCO04TPOS0000000028;BCO04POS0000194;28-06-2025 12:34:18;177.41;1.74;7946199671389290315;044052305131762955814;847922812
BCO04TPOS0000000029;BCO04POS0000172;05-05-2025 06:51:39;254.47;5.36;3242319533527530633;043740019391479708191;862136478
BCO04TPOS0000000030;BCO04POS0000164;25-05-2025 10:02:44;343.56;6.28;3812015293037844371;046075627506453101332;846645645
BCO04TPOS0000000031;BCO04POS0000163;03-11-2025 20:33:04;861.21;12.74;5804854171739848975;047979724599242485346;875593399
BCO04TPOS0000000032;BCO04POS0000154;24-04-2025 15:15:22;383.64;3.78;3052273580548200998;046050750517130062581;851518785
BCO04TPOS0000000033;BCO04POS0000175;20-09-2025 12:06:34;875.53;4.34;5369734621631365094;044945571951557457434;871784106
BCO04TPOS0000000034;BCO04POS0000196;13-07-2025 15:22:41;697.75;2.65;8589095520136866708;049537677022205243716;855428710
BCO04TPOS0000000035;BCO04POS0000204;19-08-2025 18:09:59;2614.61;28.63;8977419629427821035;049060043685085297595;863662850
BCO04TPOS0000000036;BCO04POS0000061;06-07-2025 11:22:48;2836.35;18.67;5820712677268560917;046500604395999701673;840659472
BCO04TPOS0000000037;BCO04POS0000110;19-10-2025 20:31:36;2896.69;64.85;1103661176636553118;045482349118766377325;853723914
BCO04TPOS0000000038;BCO04POS0000001;05-03-2025 13:00:44;144.09;1.67;8006441319819018362;047072807614478357187;873122596
BCO04TPOS0000000039;BCO04POS0000138;09-02-2025 03:10:33;1924.58;34.61;5589670138646438254;043657293021279286833;847522115
BCO04TPOS0000000040;BCO04POS0000139;26-09-2025 18:09:17;1146.26;10.12;6242222875250094636;049669248864773275030;878466287
BCO04TPOS0000000041;BCO04POS0000216;16-07-2025 17:58:43;12872.63;203.42;0165403886192238282;041803359991732021405;866308120
BCO04TPOS0000000042;BCO04POS0000207;30-12-2025 10:31:58;3333.88;39.22;7446086128683217862;042109620638706097034;827851263
BCO04TPOS0000000043;BCO04POS0000107;26-09-2025 15:18:22;4956.89;14.05;1267311326904516140;048574243774725467028;854775125
BCO04TPOS0000000044;BCO04POS0000143;11-11-2025 16:49:05;842.37;17.77;8093529403732490728;044119908453400848550;874240331
BCO04TPOS0000000045;BCO04POS0000137;23-12-2025 11:52:59;4600.79;101.83;0104105711089672346;049321462614050383396;825760725
BCO04TPOS0000000046;BCO04POS0000137;14-03-2025 17:48:26;6756.50;77.86;4033617379781480649;046890737973037754413;861641489
BCO04TPOS0000000047;BCO04POS0000006;17-09-2025 17:09:34;4215.90;17.74;8315690295827385152;043168045420788011314;874467089
