NUIB;ID da transacção;ID da Agência bancária;NIB de débito;Data e hora de operação;Tipo de Operação;Moeda;Valor;Valor na moeda original;Comissão;NIB de crédito;Número de telemóvel de crédito
30542344360;BCO01TIB0000000001;AG041704;017129831493912982421;20-07-2025 09:55:32;01;MZN;1655914.78;1655914.78;4572.70;411277328676776382668;859047489
47151234771;BCO01TIB0000000002;AG031701;010941238656201975888;12-09-2025 16:12:57;02;MZN;42616.19;42616.19;347.29;984176853933093153296;869744053
36932354014;BCO01TIB0000000003;AG030802;015865129094379896475;30-12-2025 08:41:34;02;MZN;518819.84;518819.84;592.09;174894295894395584491;862708029
63366287041;BCO01TIB0000000004;AG100409;013157943610519703264;26-01-2025 16:42:35;03;MZN;284939.65;284939.65;4952.04;565100878907321123791;876262928
01578782242;BCO01TIB0000000005;AG042004;016212668198210701633;07-06-2025 11:58:01;03;MZN;643223.43;643223.43;12559.36;473108250067408180029;864390305
69247338920;BCO01TIB0000000006;AG031207;016529902010483154433;06-03-2025 12:36:52;02;MZN;4966.42;4966.42;12.12;475236855759776240879;847575322
23579423861;BCO01TIB0000000007;AG070606;018923513811009554654;12-03-2025 14:54:40;01;USD;136735.15;2170.40;1265.97;189884167411137084007;841431695
24554611367;BCO01TIB0000000008;AG041306;018050978040783534376;14-10-2025 15:19:38;03;MZN;25886.24;25886.24;131.55;337429030255868416788;870384155
30094607162;BCO01TIB0000000009;AG090605;016872460585726784893;14-05-2025 11:04:11;02;MZN;8723.99;8723.99;29.89;004521913989124432082;825683767
66494797769;BCO01TIB0000000010;AG071109;018205918138822271921;05-08-2025 12:31:22;03;MZN;10474.97;10474.97;65.85;249832372520774907149;864035592
69068636636;BCO01TIB0000000011;AG060108;019200721187553789979;09-02-2025 16:06:32;01;MZN;29649.58;29649.58;354.31;631599862567077759515;876908622
47665333631;BCO01TIB0000000012;AG100406;011427331325196068502;24-03-2025 09:20:00;02;MZN;36504.71;36504.71;438.68;598827040712259550926;878052649
03017436650;BCO01TIB0000000013;AG071101;013053660108466542267;25-10-2025 12:25:17;02;MZN;107133.80;107133.80;1287.57;240271684238691803247;863939161
61628338199;BCO01TIB0000000014;AG021004;010434195447308881674;02-10-2025 12:35:17;02;MZN;437543.11;437543.11;4334.10;872010715028292640192;821998671
29825072593;BCO01TIB0000000015;AG090702;017574537554430854293;27-04-2025 12:43:21;02;MZN;287887.57;287887.57;5304.41;097194771717671692624;850533004
29122876650;BCO01TIB0000000016;AG100109;019976448159285248849;22-09-2025 16:16:29;01;MZN;19830.02;19830.02;32.05;781179842233098615496;874438407
03042505188;BCO01TIB0000000017;AG040308;014396748790324445823;08-09-2025 08:30:12;01;MZN;182361.30;182361.30;1400.61;436080389152225716201;874374820
09504806089;BCO01TIB0000000018;AG030204;018618539108157193434;01-06-2025 14:18:08;02;MZN;19895.33;19895.33;84.26;722759093690557422339;853424915
28779777653;BCO01TIB0000000019;AG031109;013920294964489909773;25-01-2025 16:11:21;01;MZN;72097.20;72097.20;979.28;264624812425188311463;852748128
47272113757;BCO01TIB0000000020;AG071004;011505357712021413238;04-08-2025 14:33:55;03;ZAR;34664.95;550.24;667.04;414081150468799093759;860180814
32772039534;BCO01TIB0000000021;AG100601;018105140408249134004;06-09-2025 15:35:39;02;MZN;315153.45;315153.45;5487.13;046688218217629001069;861506128
71217428935;BCO01TIB0000000022;AG100208;013004086082050586834;09-11-2025 08:55:14;02;MZN;101437.69;101437.69;1511.19;605233916752225015778;877280127
34278762348;BCO01TIB0000000023;AG070407;016326574397915140590;28-03-2025 16:00:22;03;EUR;25613.45;406.56;341.20;566947542372663869770;840276507
29316793736;BCO01TIB0000000024;AG030504;018354706733288535540;12-07-2025 11:02:57;02;MZN;110450.56;110450.56;330.45;753877316063002243711;873057817
20235422623;BCO01TIB0000000025;AG100701;019212620662359996686;03-12-2025 13:21:17;03;MZN;37831.70;37831.70;657.17;796368758742871927767;863942185
59157507926;BCO01TIB0000000026;AG070201;017917572528566128406;24-10-2025 12:00:56;03;MZN;37343.07;37343.07;354.18;968493462627097122794;860401741
22895813961;BCO01TIB0000000027;AG100203;016091077642788073214;24-09-2025 12:20:40;01;MZN;6676.86;6676.86;52.64;177207029922514480208;822016178
18760755360;BCO01TIB0000000028;AG080809;010408261368482534924;29-11-2025 11:46:08;02;ZAR;51355.98;815.17;389.76;991206220664815873723;860117496
56903278767;BCO01TIB0000000029;AG070609;014639661827816463127;28-04-2025 09:33:24;01;MZN;22563.33;22563.33;33.65;581448054366696045294;841732667
58316130207;BCO01TIB0000000030;AG060404;011364399111756327739;05-12-2025 15:42:58;03;MZN;10843.25;10843.25;194.51;567691203318144341283;820525703
15589920623;BCO01TIB0000000031;AG010209;013453277480902398033;31-03-2025 10:15:11;03;MZN;266227.66;266227.66;4973.53;153519496370717853876;872975618
12017465126;BCO01TIB0000000032;AG090305;011440197019410397337;04-09-2025 16:31:58;01;MZN;159755.04;159755.04;34.51;283243349894071940584;878910910
23454949712;BCO01TIB0000000033;AG021704;016377463874996801137;04-08-2025 11:46:50;02;MZN;37667.64;37667.64;148.49;674833421041464509701;857207772
12584907589;BCO01TIB0000000034;AG031902;014275377539434685131;04-01-2025 11:42:11;03;MZN;440580.46;440580.46;3058.51;803197689319080245032;840981529
49965693394;BCO01TIB0000000035;AG010302;011593428385164288642;11-11-2025 14:37:07;02;MZN;9718.25;9718.25;132.07;756094864712404547226;857753573
63366684889;BCO01TIB0000000036;AG031108;019474889671623924139;17-03-2025 16:55:59;01;MZN;39477.74;39477.74;449.71;663901691227822822426;854037512
53312033562;BCO01TIB0000000037;AG041409;014090033519967908731;03-11-2025 10:30:12;02;MZN;9036.15;9036.15;31.73;131963523341665570653;823938624
14103218038;BCO01TIB0000000038;AG070205;017383982744477447717;28-08-2025 13:55:39;02;MZN;12251.41;12251.41;112.70;627409129875691841446;876294415
66482105768;BCO01TIB0000000039;AG030502;012149219989679298770;23-03-2025 12:01:30;03;MZN;943360.34;943360.34;16114.49;840155545606269160775;862507928
79885438181;BCO01TIB0000000040;AG070406;014901127253342328801;11-07-2025 08:12:28;02;MZN;27925.33;27925.33;14.03;124960877684896726124;843568971
