NUIB;Referência do depósito;Tipo de Depósito;Tipo de Contraparte;País da Contraparte;Latitude;Longitude;Tipo de taxas de juros;Taxa de juro de referência;Taxa Anual Efectiva (TAE);Taxa Anual Nominal Bruta (TANB);Taxa Anual Nominal Líquida (TANL);Moeda;Data de Depósito;Data de Maturidade;Data do 1º Pagamento de Juros;Frequência de pagamento de juros
75166629595;BCO01DEP000000001;DO;1;MZ;-22.3147;30.1827;1;6;1.2308;1.3017;0.9847;MZN;15-10-2025;;14-11-2025;1
87662249489;BCO01DEP000000002;DO;1;MZ;-13.6110;32.2448;1;6;0.1796;0.3694;0.1436;MZN;22-08-2025;;21-09-2025;3
46512034869;BCO01DEP000000003;DO;1;MZ;-21.6578;31.3835;1;2;1.2605;1.5707;1.0084;EUR;10-02-2025;;12-03-2025;5
48138189018;BCO01DEP000000004;DO;0;MZ;-23.5576;32.4222;2;1;0.2657;0.6136;0.2126;MZN;14-05-2025;;13-06-2025;2
34145080019;BCO01DEP000000005;DO;0;MZ;-20.4655;31.9033;1;2;0.2229;0.3552;0.1783;MZN;16-04-2025;;16-05-2025;6
33129911156;BCO01DEP000000006;DO;0;MZ;-23.2735;36.1057;1;7;1.7453;2.2584;1.3962;MZN;21-09-2025;;21-10-2025;6
59506693309;BCO01DEP000000007;DO;1;MZ;-16.9829;38.3584;1;3;0.1746;0.2680;0.1397;EUR;09-03-2025;;08-04-2025;2
92228670758;BCO01DEP000000008;DP;1;MZ;-14.4301;36.1813;2;6;3.3243;3.8250;2.6595;MZN;06-01-2025;06-01-2026;05-02-2025;1
65508171156;BCO01DEP000000009;DP;1;MZ;-16.9380;34.0547;1;3;5.5890;5.9676;4.4712;USD;26-01-2025;25-07-2025;25-02-2025;3
76609602918;BCO01DEP000000010;DO;0;MZ;-15.1545;35.5704;1;7;0.0725;0.5665;0.0580;MZN;10-08-2025;;09-09-2025;1
82775955649;BCO01DEP000000011;DO;0;MZ;-17.5000;36.8111;2;7;0.9006;1.4168;0.7205;MZN;28-01-2025;;27-02-2025;2
27316099398;BCO01DEP000000012;DO;0;MZ;-13.4514;35.9811;2;2;1.4237;1.4622;1.1390;USD;15-02-2025;;17-03-2025;6
10983737073;BCO01DEP000000013;DP;0;MZ;-16.1123;38.7978;1;4;1.7194;2.4273;1.3755;ZAR;01-09-2025;01-09-2026;01-10-2025;2
17899558426;BCO01DEP000000014;DO;0;MZ;-23.5696;30.4014;1;2;1.1614;1.9162;0.9291;MZN;26-02-2025;;28-03-2025;4
62458593754;BCO01DEP000000015;DO;1;MZ;-16.7289;38.3552;2;7;0.3223;0.4718;0.2579;MZN;21-01-2025;;20-02-2025;9
70047678609;BCO01DEP000000016;DP;1;MZ;-18.3415;37.1409;1;1;3.8806;4.6378;3.1045;MZN;01-08-2025;01-08-2027;31-08-2025;5
20058230934;BCO01DEP000000017;DP;1;MZ;-24.6784;35.5377;1;5;3.3459;4.3405;2.6767;MZN;17-05-2025;17-05-2026;16-06-2025;9
39007635705;BCO01DEP000000018;DP;0;MZ;-21.5294;36.7635;1;2;8.8292;9.1511;7.0634;MZN;19-08-2025;17-11-2025;18-09-2025;3
25605388163;BCO01DEP000000019;DP;1;MZ;-12.8313;38.3778;1;6;6.7118;7.2745;5.3694;USD;18-11-2025;18-11-2027;18-12-2025;9
