NUIB;Número do cliente;Código da agência bancária;Designação da agência bancária;Referência do pedido;Referência do crédito;Canal de submissão;Data da submissão;Resultado da apreciação do pedido;Motivo da rejeição;Tipo de cliente em relação à operação;Tipo de crédito;Âmbito de crédito;Cliente entidade correlacionada;Código do produto de crédito;Designação do produto de crédito;Tipo de amortização;Modalidade do crédito;Indicador crédito verde;Finalidade do crédito;Montante solicitado;Montante aprovado;Moeda da operação;Data da contratação;Data efectiva do 1º desembolso/ utilização;Data do 1º pagamento de capital;Período de deferimento;Data de maturidade;Número de prestações;Frequência de reembolsos;Tipo de taxas de juros;Taxa de juro de referência;Spread da taxa de juros;Comissão do crédito por assinatura;Cedência da operação;Crédito Segurado;Operação vinculada ao sindicato;Local de utilização;Latitude;Longitude;Actividade económica;Origem de recursos;Percentagem dos recursos consignados
33815876566;CLI356518176010062996;AG050303;Agência Cahora-Bassa;BCO10PED000000001;BCO10CRD000000001;O;28-06-2025;A;;N;1;3;N;PES01;PES01 Produto de crédito;FIA;300;NVE;108;402596.82;259093.29;MZN;27-07-2025;30-07-2025;29-08-2025;61;19-06-2032;19;5;1;6;7.0938;2932.49;N;S;N;050301;-13.0921;34.7197;01110;P;
34776300935;CLI403919350977386463;AG070306;Agência Caia;BCO10PED000000002;BCO10CRD000000002;D;26-06-2025;A;;N;1;3;N;HAB01;HAB01 Produto de crédito;FIA;103;NVE;110;241613.93;145402.94;USD;24-07-2025;24-07-2025;23-08-2025;148;25-05-2035;66;1;1;1;9.8705;5564.71;N;N;N;070303;-21.2760;31.4775;41000;P;
27305051336;CLI845806712478796847;AG010309;Agência Lago;BCO10PED000000003;BCO10CRD000000003;O;08-11-2025;A;;N;1;3;N;PES01;PES01 Produto de crédito;FIA;202;NVE;108;424160.83;392272.55;MZN;13-11-2025;14-11-2025;14-12-2025;114;24-04-2028;61;6;2;8;7.6208;5359.55;S;S;N;010304;-25.8323;37.7691;01110;M;81.70
43666977937;CLI400170720251744327;AG030101;Agência Nampula;BCO10PED000000004;BCO10CRD000000004;D;16-09-2025;A;;N;1;3;N;PES01;PES01 Produto de crédito;JUR;201;NVE;105;997171.69;862182.90;MZN;09-10-2025;16-10-2025;15-11-2025;161;10-07-2031;17;3;1;2;8.7041;12892.61;S;N;S;030102;-25.5935;37.7822;47300;M;66.77
09070025473;CLI314167538073158990;AG051009;Agência Moatize;BCO10PED000000005;BCO10CRD000000005;A;26-10-2025;A;;N;1;3;N;PME01;PME01 Produto de crédito;OUT;101;NVE;108;1784940.46;1753826.86;MZN;23-11-2025;23-11-2025;23-12-2025;13;21-02-2028;31;6;2;2;12.2030;16535.09;N;S;N;051003;-23.5400;31.3170;01130;C;
64892965596;CLI292788165397897918;AG090109;Agência Xai-Xai;BCO10PED000000006;BCO10CRD000000006;A;01-06-2025;A;;N;1;3;N;HAB01;HAB01 Produto de crédito;BUL;101;NVE;200;12416978.84;10573793.57;MZN;23-06-2025;23-06-2025;23-07-2025;97;03-03-2029;67;2;1;3;5.3223;5601.22;N;S;N;090103;-25.8984;35.9044;96020;M;52.50
98629419021;CLI893423594396073781;AG061004;Agência Tambara;BCO10PED000000007;BCO10CRD000000007;D;27-10-2025;A;;N;1;3;C;PME01;PME01 Produto de crédito;FIA;404;NVE;105;2645632.64;2444858.02;MZN;01-11-2025;11-11-2025;11-12-2025;107;03-07-2032;110;7;3;7;5.5972;1117.96;S;S;S;061003;-17.2144;36.5014;55101;M;51.26
19841265708;CLI067698579864752830;AG100806;Agência Namaacha;BCO10PED000000008;BCO10CRD000000008;O;09-09-2025;A;;N;1;3;N;PME01;PME01 Produto de crédito;BUL;103;NVE;107;650568.63;425881.11;MZN;18-09-2025;23-09-2025;23-10-2025;157;17-05-2035;108;1;2;8;6.0060;9307.56;N;N;N;100802;-15.4983;30.1802;55101;C;
96310642623;CLI032575472359840401;AG050509;Agência Chifunde;BCO10PED000000009;BCO10CRD000000009;A;21-11-2025;A;;N;1;3;N;PES01;PES01 Produto de crédito;IRR;402;NVE;111;494934.20;326263.62;MZN;11-12-2025;17-12-2025;16-01-2026;160;03-05-2031;112;1;1;1;7.3519;17886.20;N;S;N;050503;-16.2873;35.4757;64190;M;53.92
66372077345;CLI830898187782770656;AG070909;Agência Machanga;BCO10PED000000010;BCO10CRD000000010;A;20-09-2025;A;;N;2;1;N;AGR01;AGR01 Produto de crédito;BUL;401;NVE;105;691997.35;427313.62;MZN;04-10-2025;11-10-2025;10-11-2025;67;09-09-2035;18;2;1;7;7.7087;9657.34;S;N;N;070903;-10.5965;39.7919;47300;P;
68327290255;CLI170949964260597701;AG070105;Agência Cidade da Beira;BCO10PED000000011;BCO10CRD000000011;A;11-04-2025;A;;N;1;3;N;PME01;PME01 Produto de crédito;FIA;203;VER;109;551957.50;493752.97;MZN;11-05-2025;15-05-2025;14-06-2025;47;11-09-2027;9;1;1;3;9.4155;533.50;S;N;S;070101;-24.6252;31.6040;47730;P;
53224320353;CLI989652400903244743;AG031005;Agência Mogincual;BCO10PED000000012;BCO10CRD000000012;O;15-01-2025;A;;N;1;3;N;EMP01;EMP01 Produto de crédito;SLA;102;NVE;101;160360.69;132002.58;MZN;03-02-2025;11-02-2025;13-03-2025;56;07-12-2025;117;1;1;3;6.0733;7566.80;N;S;N;031001;-17.4253;34.8820;64190;P;
28071867570;CLI727606595105860688;AG032009;Agência Rapale;BCO10PED000000013;BCO10CRD000000013;P;16-11-2025;R;40;N;1;3;N;AGR01;AGR01 Produto de crédito;BUL;103;NVE;206;3851209.35;0.00;MZN;;;;15;;0;9;1;2;3.8999;16139.29;S;N;S;032004;-16.1040;37.7846;01130;M;11.11
19078542593;CLI465151738902455765;AG100306;Agência Magude;BCO10PED000000014;BCO10CRD000000014;A;21-04-2025;A;;N;1;3;N;PES01;PES01 Produto de crédito;FIA;204;NVE;109;2215407.00;1825592.41;MZN;15-05-2025;24-05-2025;23-06-2025;0;22-06-2030;48;3;2;7;9.9196;617.01;S;S;S;100305;-21.3285;38.2061;85210;M;61.51
