NUIB;ID da transacção;ID da Agência bancária;NIB de débito;Data e hora de operação;Tipo de Operação;Moeda;Valor;Valor na moeda original;Comissão;NIB de crédito;Número de telemóvel de crédito
80931259561;BCO10TIB0000000001;AG100708;106023803494520149569;20-02-2025 15:55:46;03;MZN;30156.29;30156.29;37.75;491582145024927317047;842152302
38675617014;BCO10TIB0000000002;AG031806;103648086205510860172;12-08-2025 15:37:27;02;MZN;7923.02;7923.02;127.94;818900598787146705189;821436461
27731410802;BCO10TIB0000000003;AG031502;100952892642996666999;29-10-2025 16:19:41;01;MZN;62722.45;62722.45;429.38;761468948577400862557;849112288
73881339197;BCO10TIB0000000004;AG071001;104990381463721454761;27-01-2025 16:48:32;01;MZN;349584.40;349584.40;3992.72;970539992534300553671;868705933
64397342468;BCO10TIB0000000005;AG070702;101122531066166900469;23-11-2025 08:38:24;01;MZN;79669.66;79669.66;1173.02;235584936061858615106;825153669
84177901365;BCO10TIB0000000006;AG060408;106959720804083146967;02-02-2025 08:25:00;02;MZN;755638.03;755638.03;5280.71;443998529606428443912;873597881
31313400529;BCO10TIB0000000007;AG020901;101537099833915731442;30-04-2025 09:26:40;01;MZN;169504.74;169504.74;1186.99;269093120504795779866;843253174
66101139897;BCO10TIB0000000008;AG100406;104626008737476068259;24-01-2025 08:34:57;03;MZN;52709.16;52709.16;680.33;793419973305066805490;847578504
20382966179;BCO10TIB0000000009;AG100703;101830404376535284878;20-01-2025 12:56:12;02;MZN;25089.54;25089.54;244.58;038347357869090408334;874492986
63403886431;BCO10TIB0000000010;AG031108;101261213496405668161;16-12-2025 14:58:41;01;MZN;24010.25;24010.25;472.57;894829340670534948508;860778129
03852082510;BCO10TIB0000000011;AG031007;106988387766698654108;06-01-2025 16:49:26;02;MZN;20628.14;20628.14;57.99;192313537355778896208;823914836
00195253783;BCO10TIB0000000012;AG090105;105836584430007170953;16-05-2025 15:11:11;02;MZN;2433551.66;2433551.66;41588.28;819918341574048682815;823632973
51212866030;BCO10TIB0000000013;AG031109;105960058154151602149;11-09-2025 08:04:34;03;MZN;4585.97;4585.97;16.59;457951069977732159570;822276447
12492546128;BCO10TIB0000000014;AG090802;107835096038794788993;11-04-2025 15:28:06;01;MZN;122201.77;122201.77;2269.72;704915942189018755696;840285731
44645732392;BCO10TIB0000000015;AG090308;108099070722411885583;25-02-2025 11:54:52;02;MZN;18908.72;18908.72;229.70;550932849753542100331;846587585
29087499114;BCO10TIB0000000016;AG030802;103460425508347225894;21-11-2025 11:20:14;01;USD;102076.50;1620.26;1669.13;390670955671150088295;828972517
16574422912;BCO10TIB0000000017;AG071004;105001673881873509922;07-06-2025 10:20:49;03;MZN;3548.24;3548.24;35.43;679676800631154043559;874787136
71262432290;BCO10TIB0000000018;AG041407;104009847835346416677;09-09-2025 16:25:12;02;MZN;6636904.55;6636904.55;93960.77;696920617379314535826;878573479
65475508209;BCO10TIB0000000019;AG030808;100830940604912296086;27-05-2025 14:18:09;02;MZN;10495.56;10495.56;40.15;181938357135396930673;829044873
79500952895;BCO10TIB0000000020;AG031908;102008106716619434047;02-03-2025 12:31:53;01;MZN;862191.02;862191.02;2683.02;099391055080766352907;868981164
84865383253;BCO10TIB0000000021;AG031506;106451295168393600258;30-03-2025 10:53:16;02;MZN;9043.30;9043.30;126.53;264905468343605142484;849713063
97044381348;BCO10TIB0000000022;AG050205;100670329887261817046;27-12-2025 08:21:01;01;MZN;28693.99;28693.99;97.68;744473276340527057245;823510465
31707643460;BCO10TIB0000000023;AG031904;105402738902446976104;14-04-2025 12:59:43;03;MZN;477770.50;477770.50;1941.90;945670573409364197114;858804220
01242255840;BCO10TIB0000000024;AG050606;105945923927173574051;25-05-2025 10:02:33;03;MZN;611228.85;611228.85;1649.81;633583483588706526511;859419357
83236024485;BCO10TIB0000000025;AG030309;109314902128788755835;06-12-2025 08:56:35;01;MZN;233120.52;233120.52;3448.52;314521729037559947620;847063487
44512472450;BCO10TIB0000000026;AG031305;105355485129988308091;27-11-2025 12:19:10;02;MZN;48709.42;48709.42;626.87;315006092546934758419;856734335
33004045030;BCO10TIB0000000027;AG100405;100725591770172995538;28-01-2025 13:42:56;01;MZN;18572.14;18572.14;261.89;942623997660065511722;827544510
37201484649;BCO10TIB0000000028;AG031103;100122119959046957905;27-01-2025 10:05:42;02;MZN;97732.20;97732.20;444.63;906757769367528277029;862761190
94877864484;BCO10TIB0000000029;AG060103;101392117728447596842;25-10-2025 11:42:30;03;MZN;29214.57;29214.57;261.55;432514576077625458441;823203263
47641047617;BCO10TIB0000000030;AG071006;102579396195556712740;02-04-2025 12:44:37;03;MZN;43090.68;43090.68;169.65;009556084342307940327;846287625
77817839673;BCO10TIB0000000031;AG061001;106407877406630046154;15-07-2025 10:32:16;01;MZN;90688.86;90688.86;1163.56;588222993089851936430;845375580
82848345657;BCO10TIB0000000032;AG070501;107135610562764314656;29-11-2025 08:56:30;03;USD;27648.56;438.87;93.79;978109298086452322553;863040692
