NUIB;Referência do crédito;Situação da operação;Estado de renegociação;Gestão de cobrança;Data da renegociação;Data do contencioso ou abate do activo;Montante desembolsado/ utilizado;Saldo de capital em dívida;Saldo de capital vencido;Juros vencidos;Juros vincendos;Juros de mora acumulados;Valor da prestação;Taxa de juros de referência;Taxa de juros efectiva;Taxa de juros de mora;Data início de atraso;N.º de dias de atraso;N.º de dias de atraso.1;N.º de prestações em atraso;Comissão de liquidação;Montante cobrado
96560120612;BCO10CRD000000688;REG;NRE;NOR;;;369094.85;369094.85;0.00;0.00;18454.74;0.00;9227.37;12.9123;21.6899;28.1740;;0;0;0;0.3199;0.00
76636554596;BCO10CRD000000940;REG;NRE;NOR;;;215913.49;215913.49;0.00;0.00;10795.67;0.00;11995.19;15.2393;24.3720;29.9915;;0;0;0;2.0839;0.00
38417176763;BCO10CRD000001035;REG;NRE;NOR;;;780706.95;780706.95;0.00;0.00;39035.35;0.00;7296.33;16.5186;17.1495;25.7832;;0;0;0;1.3029;0.00
08752040968;BCO10CRD000000070;REG;NRE;NOR;;;831103.36;831103.36;0.00;0.00;41555.17;0.00;39576.35;15.3974;20.3756;27.8620;;0;0;0;1.1521;0.00
75313428633;BCO10CRD000000752;REG;NRE;NOR;;;9953224.75;9953224.75;0.00;0.00;497661.24;0.00;177736.16;16.1819;19.8903;23.6939;;0;0;0;2.6734;0.00
12497518124;BCO10CRD000000130;REG;REF;NOR;;;328209.41;328209.41;0.00;0.00;16410.47;0.00;16410.47;15.4834;27.6388;33.7376;;0;0;0;2.5850;0.00
52558694205;BCO10CRD000000515;REG;NRE;NOR;;;163242.25;163242.25;0.00;0.00;8162.11;0.00;2236.20;15.5210;22.9795;31.2584;;0;0;0;1.0542;0.00
92062718052;BCO10CRD000000545;REG;NRE;NOR;;;578481.44;578481.44;0.00;0.00;28924.07;0.00;9483.30;15.3544;25.6531;32.8958;;0;0;0;0.7437;0.00
59178665877;BCO10CRD000000557;REG;NRE;NOR;;;3317031.50;3317031.50;0.00;0.00;165851.57;0.00;174580.61;12.7998;17.2573;25.3738;;0;0;0;2.2793;0.00
98147690143;BCO10CRD000000926;ANT;NRE;NOR;;;102832.27;102832.27;0.00;0.00;5141.61;0.00;1181.98;16.0608;17.6158;23.8240;;0;0;0;0.9565;17787.77
24573891453;BCO10CRD000000813;VEN;NRE;NOR;;;1224766.30;908744.14;316022.16;31602.22;61238.31;24639.00;94212.79;15.7873;18.5865;22.8336;02-03-2026;24;24;7;0.3980;0.00
79562627538;BCO10CRD000000395;REG;NRE;NOR;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;13.0287;16.5768;24.9375;;0;0;0;2.3847;0.00
42972039498;BCO10CRD000000636;REG;NRE;CON;;;471476.88;471476.88;0.00;0.00;23573.84;0.00;4533.43;16.8712;23.2674;31.0699;;0;0;0;2.3932;0.00
12485190329;BCO10CRD000000488;REG;NRE;NOR;;;987992.68;987992.68;0.00;0.00;49399.63;0.00;13915.39;15.7026;20.5587;26.8427;;0;0;0;1.6864;0.00
77144879580;BCO10CRD000001052;REG;NRE;NOR;;;220809.23;220809.23;0.00;0.00;11040.46;0.00;1855.54;16.0577;28.0899;32.8240;;0;0;0;1.8234;0.00
47447533443;BCO10CRD000001060;REG;NRE;NOR;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;15.2502;15.8602;21.6124;;0;0;0;1.3957;0.00
68327290255;BCO10CRD000000011;REG;NRE;NOR;;;292578.05;292578.05;0.00;0.00;14628.90;0.00;3442.09;18.3146;22.7049;26.2389;;0;0;0;0.7043;0.00
93890310888;BCO10CRD000000533;VEN;NRE;NOR;;;304368.41;290428.99;13939.42;1393.94;15218.42;541.23;3237.96;18.7506;24.7901;26.6465;06-03-2026;157;157;3;2.2953;0.00
79646908778;BCO10CRD000000584;REG;RES;NOR;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;16.0025;24.7998;30.8795;;0;0;0;0.6568;0.00
60912499182;BCO10CRD000001164;REG;NRE;NOR;;;230634.11;230634.11;0.00;0.00;11531.71;0.00;3843.90;14.9987;24.8546;32.5592;;0;0;0;2.7492;0.00
87169555648;BCO10CRD000000087;REG;NRE;NOR;;;7887705.82;7887705.82;0.00;0.00;394385.29;0.00;93901.26;18.9091;22.5496;30.1998;;0;0;0;0.4600;0.00
77934257122;BCO10CRD000000112;REG;NRE;NOR;;;358750.28;358750.28;0.00;0.00;17937.51;0.00;8343.03;17.9929;24.0630;25.7817;;0;0;0;1.5760;0.00
21781623314;BCO10CRD000000826;REG;NRE;NOR;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;15.5567;20.7495;24.9024;;0;0;0;2.7162;0.00
45741960168;BCO10CRD000000606;REG;NRE;NOR;;;64122.29;64122.29;0.00;0.00;3206.11;0.00;3053.44;16.7588;22.3917;27.7709;;0;0;0;2.2247;0.00
30394059604;BCO10CRD000000020;REG;NRE;NOR;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;16.2876;23.1267;27.3470;;0;0;0;1.9614;0.00
81156078969;BCO10CRD000000294;REG;NRE;NOR;;;255199.46;255199.46;0.00;0.00;12759.97;0.00;3002.35;15.4379;26.3121;33.2571;;0;0;0;1.3146;0.00
42573038853;BCO10CRD000000952;VEN;NRE;NOR;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;18.0347;17.9254;24.2547;02-06-2025;245;245;10;2.4479;0.00
48278550134;BCO10CRD000000699;REG;NRE;NOR;;;501188.63;501188.63;0.00;0.00;25059.43;0.00;7370.42;13.3347;19.4369;21.9207;;0;0;0;0.1108;0.00
75292048662;BCO10CRD000001150;REG;NRE;NOR;;;349175.68;349175.68;0.00;0.00;17458.78;0.00;4718.59;14.3118;23.9194;30.8059;;0;0;0;2.8334;0.00
93959058313;BCO10CRD000001039;REG;NRE;NOR;;;5381508.00;5381508.00;0.00;0.00;269075.40;0.00;77992.87;16.7292;21.2606;24.4643;;0;0;0;0.7953;0.00
89936319761;BCO10CRD000000810;REG;NRE;NOR;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;15.3985;23.9497;28.9141;;0;0;0;0.9533;0.00
52558694205;BCO10CRD000000515;VEN;NRE;NOR;;;178169.87;126777.57;51392.30;5139.23;8908.49;2423.06;2545.28;14.8680;21.3387;27.1088;17-08-2025;94;94;3;1.6655;0.00
03941294008;BCO10CRD000000825;REG;RES;NOR;;;301907.83;301907.83;0.00;0.00;15095.39;0.00;3870.61;13.8652;22.4665;25.9914;;0;0;0;2.5863;0.00
74575737753;BCO10CRD000001043;REG;NRE;NOR;;;569384.34;569384.34;0.00;0.00;28469.22;0.00;4744.87;17.5783;24.2974;25.2634;;0;0;0;0.5845;0.00
97854680967;BCO10CRD000000955;REG;NRE;CON;;;1049197.30;1049197.30;0.00;0.00;52459.86;0.00;149885.33;15.5562;16.4547;24.7829;;0;0;0;0.8266;0.00
51583276924;BCO10CRD000000506;REG;NRE;NOR;;;509127.97;509127.97;0.00;0.00;25456.40;0.00;4351.52;11.7811;19.4739;29.3252;;0;0;0;1.6573;0.00
64916902677;BCO10CRD000001151;ANT;NRE;NOR;;;702630.14;702630.14;0.00;0.00;35131.51;0.00;10037.57;12.7996;19.5395;29.8821;;0;0;0;2.8047;83310.95
51269797727;BCO10CRD000001018;REG;NRE;NOR;;;245260.41;245260.41;0.00;0.00;12263.02;0.00;6812.79;16.6026;23.2627;27.8883;;0;0;0;0.7961;0.00
66857190453;BCO10CRD000000291;REG;NRE;NOR;;;9503986.32;9503986.32;0.00;0.00;475199.32;0.00;243691.96;9.4989;12.5037;17.7145;;0;0;0;1.2859;0.00
76600549606;BCO10CRD000000553;REG;NRE;NOR;;;289243.54;289243.54;0.00;0.00;14462.18;0.00;4017.27;19.7894;27.5042;36.9316;;0;0;0;1.9064;0.00
46641532294;BCO10CRD000000437;REG;NRE;NOR;;;16887298.98;16887298.98;0.00;0.00;844364.95;0.00;888805.21;16.6578;22.4808;27.1903;;0;0;0;1.7739;0.00
76899361229;BCO10CRD000001136;REG;NRE;NOR;;;226712.78;226712.78;0.00;0.00;11335.64;0.00;3908.84;12.3548;22.9581;29.6935;;0;0;0;0.3078;0.00
57724279118;BCO10CRD000000398;ANT;NRE;NOR;;;199948.22;199948.22;0.00;0.00;9997.41;0.00;2019.68;13.8019;26.3060;32.3518;;0;0;0;1.7948;19243.45
94877864484;BCO10CRD000001106;VEN;NRE;NOR;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;13.4784;26.5044;26.8296;25-06-2025;142;142;10;1.7275;0.00
56897723082;BCO10CRD000000134;REG;NRE;NOR;;;6919945.89;6919945.89;0.00;0.00;345997.29;0.00;691994.59;12.2483;14.8039;20.7069;;0;0;0;1.6261;0.00
90164939261;BCO10CRD000001077;REG;NRE;NOR;;;676549.89;676549.89;0.00;0.00;33827.49;0.00;13265.68;11.4050;16.4547;23.1358;;0;0;0;1.1913;0.00
18393059499;BCO10CRD000000247;REG;NRE;NOR;;;154428.19;154428.19;0.00;0.00;7721.41;0.00;2859.78;10.7285;14.1844;23.3845;;0;0;0;1.4435;0.00
05237106749;BCO10CRD000000195;REG;NRE;NOR;;;576978.36;576978.36;0.00;0.00;28848.92;0.00;24040.77;17.4643;29.9361;35.4827;;0;0;0;2.0530;0.00
24149203622;BCO10CRD000000931;REG;NRE;NOR;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;14.4974;20.7184;24.4777;;0;0;0;2.3855;0.00
24131836621;BCO10CRD000000594;VEN;NRE;NOR;;;72006.76;64028.31;7978.45;797.85;3600.34;580.39;5143.34;15.9042;21.3053;27.7553;24-12-2025;318;318;8;2.7744;0.00
43443050226;BCO10CRD000000225;REG;RES;NOR;;;228009.55;228009.55;0.00;0.00;11400.48;0.00;15200.64;16.3852;23.0714;30.2685;;0;0;0;2.5184;0.00
71482081101;BCO10CRD000001032;REG;NRE;NOR;;;118564.29;118564.29;0.00;0.00;5928.21;0.00;1347.32;13.3674;19.1547;23.7042;;0;0;0;1.6506;0.00
44996202240;BCO10CRD000000354;REG;NRE;NOR;;;458909.69;458909.69;0.00;0.00;22945.48;0.00;6650.87;14.0738;20.7278;24.5546;;0;0;0;2.6077;0.00
92134467439;BCO10CRD000000849;VEN;NRE;NOR;;;1096319.10;1011103.26;85215.84;8521.58;54815.95;3378.47;27407.98;14.7799;17.0376;20.9983;28-05-2025;275;275;9;1.4703;0.00
37321097399;BCO10CRD000000175;REG;NRE;NOR;;;80550.57;80550.57;0.00;0.00;4027.53;0.00;8950.06;13.6093;19.0906;24.7000;;0;0;0;2.1247;0.00
56354280484;BCO10CRD000000353;REG;NRE;NOR;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;14.0885;17.7040;26.3521;;0;0;0;1.7135;0.00
75812946398;BCO10CRD000000648;REG;NRE;NOR;;;405404.65;405404.65;0.00;0.00;20270.23;0.00;10956.88;15.2318;23.6310;31.3646;;0;0;0;2.5888;0.00
95777367268;BCO10CRD000000028;REG;NRE;NOR;;;70866.11;70866.11;0.00;0.00;3543.31;0.00;656.17;13.4422;23.6314;28.5777;;0;0;0;1.8175;0.00
