NIB;NUIB do Titular;IBAN;Agência / ID Ponto;Agente / ID Ponto;Tipo de Conta;Moeda;Titularidade;Tipo de Titular;Regime de movimentação;Sector de Actividade do Titular;Dimensão da Empresa titular;Volume de Negócios da Empresa titular;Número de trabalhadores da empresa titular;Tipo de classificação da necessidade especial/deficiência;Canal preferencial de acesso à conta;Estado da Conta;Motivo de alteração do Estado;Data da última actualização do estado;Data de Abertura;Data de Encerramento;Data da Última Operação;Data da Última Actualização dos dados;Canal de Abertura;Frequência de utilização da conta;Regime de Abertura;Pessoa Politicamente Exposta  (PEP)
109927253166667599885;23483944603;MZ5910992725316666759988582689105775;AG030405;;01;MZN;04;02;02;55101;01;90175111.57;186;00;05;01;00;05-10-2025;16-12-2021;;;05-10-2025;05;05;S;N
106998350450945365203;83291268370;MZ5910699835045094536520359080389068;AG080904;;01;MZN;01;01;01;01110;00;0.00;0;01;05;01;00;27-01-2025;30-01-2016;;;27-01-2025;05;01;G;N
104158294235987247014;90796881098;MZ5910415829423598724701449236696931;AG021003;;01;MZN;01;01;03;47210;00;0.00;0;01;01;01;00;13-08-2025;21-12-2019;;;13-08-2025;01;03;G;N
101530735143483321603;13151111856;MZ5910153073514348332160315435018037;AG021606;;01;MZN;04;02;04;64190;01;21583759.81;126;00;04;01;00;10-05-2025;10-12-2020;;;10-05-2025;04;01;S;N
106142585472188416747;33529635679;MZ5910614258547218841674726818836390;AG051203;;01;MZN;04;02;05;47210;02;6564976.27;122;00;01;02;01;18-03-2025;08-04-2018;;;18-03-2025;01;04;S;N
106408269535847379880;64253873441;MZ5910640826953584737988072486939834;AG031704;;01;MZN;04;02;04;85210;01;72908970.56;183;00;03;01;00;28-04-2025;05-07-2021;;;28-04-2025;03;01;G;N
107346306397950277564;52586025856;MZ5910734630639795027756475118912553;AG081108;;04;MZN;01;01;05;47730;00;0.00;0;02;03;01;00;16-12-2025;05-10-2025;;;16-12-2025;03;03;S;N
103071251346016407236;96256993719;MZ5910307125134601640723655381467412;AG030204;;01;MZN;01;01;02;85210;00;0.00;0;01;03;01;00;29-08-2025;16-03-2022;;;29-08-2025;03;03;G;N
102080722238624855381;06380967537;MZ5910208072223862485538190714701999;AG100705;;02;MZN;01;01;04;85210;00;0.00;0;02;04;01;00;19-05-2025;24-11-2024;;;19-05-2025;04;02;S;N
107388135151234381619;56438616779;MZ5910738813515123438161904581897114;AG051203;;01;USD;01;01;04;85210;00;0.00;0;01;02;01;00;26-07-2025;16-07-2025;;;26-07-2025;02;02;G;N
103833237632965042824;50804161673;MZ5910383323763296504282429083606814;AG030708;;01;MZN;01;01;03;49230;00;0.00;0;02;02;01;00;27-10-2025;27-05-2018;;;27-10-2025;02;01;G;N
100878305550241321453;71477763617;MZ5910087830555024132145396774995849;AG040107;;02;MZN;01;01;01;62010;00;0.00;0;02;03;01;00;15-02-2025;09-05-2021;;;15-02-2025;03;02;S;N
102437133823302581345;74058196877;MZ5910243713382330258134511774239774;AG100404;;02;MZN;03;02;03;56101;03;14581911.14;346;00;05;01;00;26-10-2025;26-06-2017;;;26-10-2025;05;01;G;N
101444532000543033315;74743481058;MZ5910144453200054303331574668253350;AG031105;;01;MZN;01;01;05;62010;00;0.00;0;02;03;01;00;28-03-2025;26-04-2016;;;28-03-2025;03;04;S;N
105320965680063494540;23648785552;MZ5910532096568006349454052361880358;AG070106;;01;MZN;01;01;01;62010;00;0.00;0;01;02;01;00;06-10-2025;22-09-2020;;;06-10-2025;02;02;G;N
109320928895967930635;24036702344;MZ5910932092889596793063516813851127;AG061001;;02;MZN;01;01;04;47730;00;0.00;0;02;04;01;00;04-11-2025;10-01-2022;;;04-11-2025;04;03;S;N
108233879878541336299;12244879876;MZ5910823387987854133629967515157314;AG032208;;01;MZN;01;01;01;62010;00;0.00;0;02;05;01;00;08-01-2025;11-11-2021;;;08-01-2025;05;03;G;N
109873112700993219718;09268737641;MZ5910987311270099321971854216211148;AG030301;;01;MZN;01;01;03;47730;00;0.00;0;02;02;01;00;08-07-2025;14-10-2020;;;08-07-2025;02;04;G;N
106658959120360887431;36460385931;MZ5910665895912036088743108632537485;AG091305;;01;USD;03;02;05;96020;03;2398648.46;196;00;02;01;00;03-08-2025;15-05-2022;;;03-08-2025;02;02;G;N
103615637798530322914;03961827454;MZ5910361563779853032291458759847556;AG100701;;02;MZN;01;01;02;85210;00;0.00;0;02;05;01;00;05-11-2025;05-04-2020;;;05-11-2025;05;02;S;N
101437682040745055469;89097718453;MZ5910143768204074505546953282207115;AG090906;;05;MZN;01;01;04;47730;00;0.00;0;01;01;01;00;15-07-2025;19-01-2020;;;15-07-2025;01;03;S;N
100834557549015859571;78200090894;MZ5910083455754901585957158512340443;AG100403;;02;MZN;01;01;04;55101;00;0.00;0;01;03;01;00;25-07-2025;12-06-2025;;;25-07-2025;03;04;G;N
108088756429109082933;80879604676;MZ5910808875642910908293335526985870;AG031908;;02;MZN;01;01;04;64190;00;0.00;0;01;01;01;00;03-03-2025;08-05-2023;;;03-03-2025;01;02;G;N
103014902940879504745;64459138323;MZ5910301490294087950474556059688708;AG032108;;02;MZN;06;02;05;47110;02;4173688.54;300;00;04;01;00;22-06-2025;25-12-2016;;;22-06-2025;04;02;G;N
101547480455242371012;10441329411;MZ5910154748045524237101268387250946;AG071101;;01;USD;01;01;01;01130;00;0.00;0;01;04;01;00;22-12-2025;16-08-2017;;;22-12-2025;04;04;G;N
108242040576939453288;67791684415;MZ5910824204057693945328892257734796;AG020909;;01;EUR;01;01;04;01110;00;0.00;0;01;05;01;00;15-10-2025;07-09-2016;;;15-10-2025;05;05;G;N
102609115550254638923;04167410996;MZ5910260911555025463892376989988992;AG081201;;01;EUR;01;01;03;62010;00;0.00;0;02;03;01;00;09-11-2025;27-01-2023;;;09-11-2025;03;01;G;N
108606368298118424515;22160483843;MZ5910860636829811842451584229487176;AG090707;;02;MZN;01;01;04;01110;00;0.00;0;02;04;01;00;29-01-2025;04-07-2022;;;29-01-2025;04;01;S;N
108704497267963573528;10928125352;MZ5910870449726796357352844040561250;AG090307;;05;MZN;03;02;05;64190;02;54392066.61;383;00;02;01;00;07-03-2025;11-11-2018;;;07-03-2025;02;03;S;N
101594106510184562857;39845803871;MZ5910159410651018456285744783619630;AG070707;;02;USD;01;01;05;47730;00;0.00;0;02;01;01;00;28-06-2025;17-12-2016;;;28-06-2025;01;03;G;N
103200274396528026328;11306129280;MZ5910320027439652802632819687261225;AG100709;;01;MZN;01;01;03;01110;00;0.00;0;01;05;01;00;24-08-2025;31-01-2025;;;24-08-2025;05;03;G;N
105402738902446976104;31707643460;MZ5910540273890244697610429383368118;AG031905;;01;MZN;01;01;02;85210;00;0.00;0;01;03;01;00;17-07-2025;04-02-2020;;;17-07-2025;03;02;S;N
104988971058468336110;51468323897;MZ5910498897105846833611075134104241;AG031105;;01;MZN;01;01;05;55101;00;0.00;0;01;04;01;00;30-12-2025;25-12-2025;;;30-12-2025;04;01;G;N
104597519696534014614;40785160464;MZ5910459751969653401461461889424617;AG030301;;01;MZN;01;01;02;62010;00;0.00;0;01;05;01;00;23-04-2025;29-01-2023;;;23-04-2025;05;01;S;N
107186733967207621125;20803083362;MZ5910718673396720762112501717057298;AG060902;;02;MZN;06;02;05;85210;03;2227975.70;69;00;01;01;00;23-07-2025;16-03-2021;;;23-07-2025;01;04;S;N
102425374292560763568;54580789081;MZ5910242537429256076356899013232330;AG030206;;02;MZN;01;01;05;55101;00;0.00;0;02;01;01;00;13-12-2025;25-11-2025;;;13-12-2025;01;01;G;N
100872234651423403420;19078542593;MZ5910087223465142340342020618109851;AG100306;;01;MZN;01;01;02;85210;00;0.00;0;01;05;01;00;24-12-2025;05-09-2025;;;24-12-2025;05;02;G;N
106345058731066609613;00171864935;MZ5910634505873106660961398624079601;AG032207;;01;MZN;01;01;01;49230;00;0.00;0;01;02;01;00;02-11-2025;01-09-2025;;;02-11-2025;02;01;G;N
109352606064935304854;42056905630;MZ5910935260606493530485471035679822;AG021308;;01;MZN;08;02;04;85210;01;2938233.68;198;00;03;01;00;16-01-2025;16-07-2017;;;16-01-2025;03;01;S;N
107243269906614535392;20720296038;MZ5910724326990661453539229032510382;AG031305;;01;MZN;01;01;01;47210;00;0.00;0;02;01;01;00;09-12-2025;11-08-2025;;;09-12-2025;01;02;S;N
