NIB;NUIB do Titular;IBAN;Agência / ID Ponto;Agente / ID Ponto;Tipo de Conta;Moeda;Titularidade;Tipo de Titular;Regime de movimentação;Sector de Actividade do Titular;Dimensão da Empresa titular;Volume de Negócios da Empresa titular;Número de trabalhadores da empresa titular;Tipo de classificação da necessidade especial/deficiência;Canal preferencial de acesso à conta;Estado da Conta;Motivo de alteração do Estado;Data da última actualização do estado;Data de Abertura;Data de Encerramento;Data da Última Operação;Data da Última Actualização dos dados;Canal de Abertura;Frequência de utilização da conta;Regime de Abertura;Pessoa Politicamente Exposta  (PEP)
028965379949093358841;84226047278;MZ5902896537994909335884115123813694;AG010807;;01;MZN;01;01;02;96020;00;0.00;0;02;05;01;00;18-02-2025;02-01-2017;;;18-02-2025;05;03;S;N
022237550139574522204;91293260491;MZ5902223755013957452220492500432237;AG070709;;02;MZN;01;01;04;56101;00;0.00;0;01;01;01;00;13-05-2025;22-04-2016;;;13-05-2025;01;02;S;N
020382191457036575654;20779304246;MZ5902038219145703657565418453139785;AG030803;;01;MZN;07;02;01;49230;02;73701956.28;162;00;05;01;00;11-07-2025;06-12-2018;;;11-07-2025;05;01;S;N
021466659924000552074;99942065342;MZ5902146665992400055207453158579715;AG070207;;01;MZN;04;02;01;47300;01;4259671.65;491;00;02;01;00;28-10-2025;21-03-2020;;;28-10-2025;02;01;S;N
029866714729040511147;76317183803;MZ5902986671472904051114774739420887;AG071003;;01;USD;04;02;04;86100;01;2332439.82;390;00;01;01;00;12-03-2025;11-05-2020;;;12-03-2025;01;03;S;N
022206279984688163366;38693618472;MZ5902220627998468816336697860479785;AG030302;;05;MZN;01;01;01;86100;00;0.00;0;02;01;01;00;30-11-2025;15-02-2024;;;30-11-2025;01;02;G;N
020550496812229631703;03409766377;MZ5902055049681222963170379418116413;AG010508;;01;MZN;01;01;04;01130;00;0.00;0;02;01;01;00;03-04-2025;15-09-2017;;;03-04-2025;01;02;S;N
027770697895713032571;11494126057;MZ5902777069789571303257108607690713;AG021007;;02;MZN;04;02;03;47300;01;5941945.63;36;00;03;02;02;11-01-2025;27-01-2024;;;11-01-2025;03;03;S;N
021887128140993827621;22821876435;MZ5902188712814099382762168842397905;AG041301;;03;MZN;01;01;03;47210;00;0.00;0;01;02;01;00;07-03-2025;04-12-2020;;;07-03-2025;02;04;S;N
022221379495771632647;21497149986;MZ5902222137949577163264734831812374;AG030304;;02;MZN;01;01;02;62010;00;0.00;0;01;05;01;00;06-09-2025;27-04-2021;;;06-09-2025;05;01;G;N
026664273133923854119;63823314843;MZ5902666427313392385411988090402843;AG030407;;01;MZN;01;01;02;47300;00;0.00;0;01;02;01;00;07-02-2025;26-07-2016;;;07-02-2025;02;03;G;N
024622495032150313682;58998199485;MZ5902462249503215031368227466195180;AG030404;;01;MZN;01;01;04;47300;00;0.00;0;02;02;01;00;18-10-2025;02-06-2024;;;18-10-2025;02;02;S;N
024235182812029488709;78445341905;MZ5902423518281202948870903010553611;AG041209;;01;USD;01;01;01;56101;00;0.00;0;02;04;01;00;18-06-2025;30-03-2020;;;18-06-2025;04;01;G;N
021907676617362595094;75268188764;MZ5902190767661736259509492345476246;AG070504;;02;MZN;01;01;04;47730;00;0.00;0;02;02;01;00;22-10-2025;24-09-2020;;;22-10-2025;02;02;S;N
026628344584826600131;20706512852;MZ5902662834458482660013199951627506;AG041004;;01;MZN;04;02;03;47110;01;10230888.22;37;00;05;01;00;27-01-2025;18-11-2021;;;27-01-2025;05;04;S;N
026867999254575621836;10739119302;MZ5902686799925457562183685168313424;AG030203;;04;MZN;01;01;01;01130;00;0.00;0;02;05;01;00;30-01-2025;17-10-2020;;;30-01-2025;05;01;G;N
022797349453650130965;30388911563;MZ5902279734945365013096580650442378;AG070101;;01;MZN;01;01;03;56101;00;0.00;0;02;03;01;00;28-04-2025;31-12-2019;;;28-04-2025;03;02;G;S
024417858279209259865;35908193424;MZ5902441785827920925986514728121266;AG010406;;02;MZN;01;01;01;01110;00;0.00;0;01;05;01;00;29-05-2025;16-12-2024;;;29-05-2025;05;05;G;N
027638114455573923362;20424289838;MZ5902763811445557392336229901290215;AG031308;;01;MZN;01;01;04;41000;00;0.00;0;02;05;01;00;10-09-2025;24-01-2023;;;10-09-2025;05;01;S;N
