NUIB;ID da transacção;ID da Agência bancária;NIB de débito;Data e hora de operação;Tipo de Operação;Moeda;Valor;Valor na moeda original;Comissão;NIB de crédito;Número de telemóvel de crédito
41368509114;BCO02TIB0000000001;AG100408;027658687342264370457;10-04-2025 11:06:50;01;MZN;170904.69;170904.69;3072.58;989569407421804007566;858713224
17672425538;BCO02TIB0000000002;AG030308;029084947788049668620;14-07-2025 09:54:45;03;MZN;30487.66;30487.66;198.69;819328874376321390869;876895300
66989586583;BCO02TIB0000000003;AG011205;021491972132063032262;15-03-2025 16:44:37;03;MZN;787777.59;787777.59;12164.47;072924761352239625432;844571312
16544164983;BCO02TIB0000000004;AG050206;028551039797966264351;14-03-2025 10:26:12;03;MZN;152657.09;152657.09;1005.26;773393570674041132607;855405847
33065353773;BCO02TIB0000000005;AG070405;023906232511543675322;24-02-2025 10:09:35;02;MZN;60576.85;60576.85;197.97;362768605455421387308;864815681
37734288608;BCO02TIB0000000006;AG070604;021887599646454427608;06-08-2025 16:42:09;01;MZN;34602.88;34602.88;476.24;913472792956981496086;866573799
21892026333;BCO02TIB0000000007;AG021405;021766264152671575307;03-07-2025 13:59:42;02;MZN;102470.55;102470.55;2014.23;898694517042455041842;843793251
43247140615;BCO02TIB0000000008;AG070103;027057147354324591425;30-11-2025 14:18:37;02;MZN;165999.87;165999.87;1919.49;815219499350087977108;821383083
43617626379;BCO02TIB0000000009;AG080507;023245386659569176278;25-01-2025 11:08:24;01;MZN;27921.26;27921.26;246.95;646054242449998132698;876456761
97336442638;BCO02TIB0000000010;AG070101;020165412986222812628;08-12-2025 16:54:16;01;MZN;106447.14;106447.14;1379.16;699727638857248099396;872903238
56230800828;BCO02TIB0000000011;AG030106;021765385612229881886;10-06-2025 10:58:54;03;MZN;63506.25;63506.25;712.65;020261933929988413888;868463440
41090609290;BCO02TIB0000000012;AG030601;026371749929417934725;18-05-2025 08:59:37;03;MZN;143183.89;143183.89;2762.04;941396204754165923713;825944581
82105365193;BCO02TIB0000000013;AG050307;022738527870107333811;15-07-2025 10:56:05;03;MZN;236190.64;236190.64;4420.70;362296159701936772192;863193103
74542163505;BCO02TIB0000000014;AG071208;023522496795527823396;06-12-2025 08:44:37;01;MZN;55933.89;55933.89;1059.60;677561823649539688023;857374342
52089116587;BCO02TIB0000000015;AG040602;022389534263000212471;04-05-2025 14:44:11;01;MZN;30199.61;30199.61;346.32;360704671351976063218;861480158
30582162746;BCO02TIB0000000016;AG060103;022955090615528080718;11-02-2025 15:23:20;01;MZN;20960.05;20960.05;235.08;798067304024708469551;829741271
04965334949;BCO02TIB0000000017;AG070103;028478506548732938566;15-07-2025 10:51:06;01;MZN;708431.50;708431.50;13791.23;761980106079354969188;824572745
27256006327;BCO02TIB0000000018;AG042108;026452789461743307174;04-05-2025 14:52:42;02;MZN;557354.68;557354.68;10840.43;947989603093360456846;873291027
35991151145;BCO02TIB0000000019;AG032001;024482995142153125098;02-02-2025 12:41:04;03;MZN;209808.81;209808.81;1821.26;160997994755470072783;828720010
84624654550;BCO02TIB0000000020;AG021108;025020552489708134207;29-08-2025 09:46:35;02;MZN;390934.57;390934.57;7368.64;348657560234199056125;857240764
04252100926;BCO02TIB0000000021;AG030204;029650145422131652449;16-07-2025 12:27:50;02;MZN;16047.76;16047.76;228.23;042305418788896617115;872350321
38257147412;BCO02TIB0000000022;AG030906;020268823124159256841;07-10-2025 08:16:43;02;MZN;195953.53;195953.53;2254.62;601417779695340783662;873360532
99412303636;BCO02TIB0000000023;AG071102;024795468402457044208;03-11-2025 08:10:51;02;MZN;54736.01;54736.01;577.23;198698389332297555854;860909642
34397130362;BCO02TIB0000000024;AG041907;029217911189187988241;11-09-2025 13:47:47;03;MZN;7404.92;7404.92;137.06;327591547441680595829;848987165
33608970401;BCO02TIB0000000025;AG030107;024075570343114375886;28-08-2025 11:35:54;02;MZN;22573.66;22573.66;54.87;879559455101274270669;870023889
97562262481;BCO02TIB0000000026;AG020601;020231461822748527715;20-06-2025 16:13:31;02;MZN;74851.48;74851.48;978.84;604942937645698437867;865092612
41943825562;BCO02TIB0000000027;AG081309;028511653291449282183;23-09-2025 08:29:03;01;MZN;171082.55;171082.55;502.54;611805503271032106253;861238530
17006862214;BCO02TIB0000000028;AG030307;022401947067015682076;22-06-2025 12:22:48;02;MZN;95949.55;95949.55;1684.12;559531162530089811600;876455568
78511033971;BCO02TIB0000000029;AG041603;024622864944900696957;02-03-2025 13:37:43;03;MZN;31431.34;31431.34;194.13;590980444747147235938;851473971
21065137391;BCO02TIB0000000030;AG100309;020377067678654630565;08-06-2025 16:50:02;02;MZN;10844.15;10844.15;111.53;612850653196012351508;842806094
08185110085;BCO02TIB0000000031;AG080405;021103705598879030886;04-07-2025 13:24:02;03;MZN;10908.34;10908.34;135.92;817709133531762712954;828570700
27123928029;BCO02TIB0000000032;AG041007;028777824638334866121;27-04-2025 11:11:02;02;MZN;199719.62;199719.62;983.78;346956576767453050458;867397955
85407370884;BCO02TIB0000000033;AG020607;021967974377489442331;26-05-2025 14:01:42;03;MZN;12685.13;12685.13;195.07;783464782362199776682;842338781
37176529126;BCO02TIB0000000034;AG030104;028322741090596511657;07-07-2025 08:31:12;02;MZN;242783.77;242783.77;3410.93;935239401046465214358;855925401
54577861627;BCO02TIB0000000035;AG031709;022851877454577515958;21-04-2025 14:04:34;03;ZAR;68033.77;1079.90;856.91;056446150044692370238;857821419
95425175886;BCO02TIB0000000036;AG100707;022657076679438345997;22-08-2025 15:32:39;01;MZN;1917660.39;1917660.39;16095.08;380198803086263119031;843875177
89587679644;BCO02TIB0000000037;AG030908;023079476262631387910;26-07-2025 08:21:37;03;MZN;12613.66;12613.66;86.77;190179974016966924054;869328419
81135889205;BCO02TIB0000000038;AG040802;023929451897076302236;27-04-2025 09:59:53;01;MZN;201817.17;201817.17;245.43;857305973338114657124;822729949
25356718621;BCO02TIB0000000039;AG070101;024826200062440670892;23-07-2025 10:36:35;02;MZN;42994.05;42994.05;611.41;777717736999634904978;876129827
44424924476;BCO02TIB0000000040;AG042209;022936731477844090089;15-01-2025 16:19:47;03;MZN;963452.38;963452.38;12892.95;811714855355262293061;871149391
49658250126;BCO02TIB0000000041;AG080904;027394221541288671980;16-08-2025 15:15:44;02;MZN;302301.51;302301.51;3318.31;299772904165403332608;853611780
19016308434;BCO02TIB0000000042;AG100606;025226151627416432739;25-05-2025 13:14:17;01;MZN;44516.48;44516.48;763.02;692419972930620849976;820951754
92127550953;BCO02TIB0000000043;AG041107;027269263092855761723;02-12-2025 14:44:36;03;MZN;65838.20;65838.20;721.92;872119569112582927285;844647869
10612125410;BCO02TIB0000000044;AG030209;022902638298923848012;31-07-2025 08:52:45;03;USD;7102.87;112.74;131.08;524294163317628360720;867895503
50466211517;BCO02TIB0000000045;AG031906;026456618861508637278;19-11-2025 16:49:36;02;MZN;51901.28;51901.28;24.11;023292458513468174964;850441979
92502128614;BCO02TIB0000000046;AG030302;020801894584604631210;05-09-2025 11:52:19;02;MZN;40091.19;40091.19;585.48;040910760992111740972;844289170
83709672992;BCO02TIB0000000047;AG070802;027442071320486116288;07-05-2025 10:35:03;02;USD;68479.45;1086.98;930.01;678184534848096176711;843023601
