NIB;NUIB do Titular;IBAN;Agência / ID Ponto;Agente / ID Ponto;Tipo de Conta;Moeda;Titularidade;Tipo de Titular;Regime de movimentação;Sector de Actividade do Titular;Dimensão da Empresa titular;Volume de Negócios da Empresa titular;Número de trabalhadores da empresa titular;Tipo de classificação da necessidade especial/deficiência;Canal preferencial de acesso à conta;Estado da Conta;Motivo de alteração do Estado;Data da última actualização do estado;Data de Abertura;Data de Encerramento;Data da Última Operação;Data da Última Actualização dos dados;Canal de Abertura;Frequência de utilização da conta;Regime de Abertura;Pessoa Politicamente Exposta  (PEP)
086600502902759771154;22194999214;MZ5908660050290275977115499971234549;AG021609;;01;MZN;01;01;04;41000;00;0.00;0;02;01;01;00;19-05-2025;03-01-2023;;;19-05-2025;01;01;G;N
086761350543214046263;38955371779;MZ5908676135054321404626304148319315;AG030106;;01;MZN;07;02;04;62010;02;1928451.17;78;00;03;01;00;14-03-2025;26-07-2021;;;14-03-2025;03;03;G;N
080941712976721166406;10191648290;MZ5908094171297672116640689397580599;AG061005;;02;ZAR;01;01;02;01110;00;0.00;0;01;04;01;00;12-01-2025;14-06-2022;;;12-01-2025;04;01;G;N
088479541652643716080;99796938125;MZ5908847954165264371608014498476877;AG031304;;02;MZN;06;02;04;47110;01;6753192.74;427;00;04;01;00;10-10-2025;27-04-2018;;;10-10-2025;04;02;G;N
081628678059271792228;18131419513;MZ5908162867805927179222805874529345;AG030603;;01;MZN;01;01;02;41000;00;0.00;0;01;05;04;03;09-11-2025;22-04-2018;;;09-11-2025;05;01;G;N
083270766023294375714;12170694739;MZ5908327076602329437571434911218718;AG020305;;01;MZN;01;01;01;49230;00;0.00;0;02;05;01;00;05-10-2025;08-08-2021;;;05-10-2025;05;03;S;N
080019767988130333544;68742581522;MZ5908001976798813033354449452485418;AG030702;;05;ZAR;01;01;05;01110;00;0.00;0;01;02;01;00;29-08-2025;25-12-2018;;;29-08-2025;02;01;G;N
087167265345619852577;04165892170;MZ5908716726534561985257701967717541;AG100406;;01;MZN;01;01;02;86100;00;0.00;0;02;05;01;00;06-12-2025;18-02-2017;;;06-12-2025;05;01;S;N
082499954567592555030;09698635031;MZ5908249995456759255503031834711294;AG040708;;05;MZN;01;01;03;47210;00;0.00;0;01;05;01;00;26-03-2025;02-10-2024;;;26-03-2025;05;01;G;N
082941886242464569716;35040496214;MZ5908294188624246456971636243933276;AG051008;;01;MZN;01;01;05;55101;00;0.00;0;02;02;01;00;06-11-2025;18-01-2017;;;06-11-2025;02;05;S;N
085796545658361968272;90749491416;MZ5908579654565836196827209933472444;AG031706;;01;MZN;01;01;04;47110;00;0.00;0;02;02;01;00;16-01-2025;25-10-2022;;;16-01-2025;02;03;S;N
086941320175589158768;55414469451;MZ5908694132017558915876888682472513;AG040506;;01;USD;01;01;04;55101;00;0.00;0;02;03;01;00;01-03-2025;18-03-2023;;;01-03-2025;03;05;S;N
089184408098408348893;32067632870;MZ5908918440809840834889338640113547;AG040703;;02;MZN;01;01;03;47110;00;0.00;0;01;04;01;00;28-04-2025;03-01-2024;;;28-04-2025;04;01;S;N
085608778639936507049;06976314275;MZ5908560877863993650704983954975094;AG100509;;01;MZN;01;01;01;49230;00;0.00;0;02;04;01;00;15-05-2025;30-06-2019;;;15-05-2025;04;04;G;N
087833254696107598531;52796772924;MZ5908783325469610759853119035632183;AG081109;;01;MZN;01;01;05;62010;00;0.00;0;01;03;04;11;08-04-2025;03-05-2023;;;08-04-2025;03;02;G;N
080050791939486206442;13432655519;MZ5908005079193948620644255129250439;AG031301;;02;MZN;01;01;01;55101;00;0.00;0;01;03;01;00;17-03-2025;08-06-2016;;;17-03-2025;03;01;G;N
083247733766379524875;21607002747;MZ5908324773376637952487536305526881;AG051209;;01;MZN;01;01;01;47300;00;0.00;0;02;01;01;00;18-07-2025;25-10-2019;;;18-07-2025;01;03;G;N
080982482171174965640;89621363597;MZ5908098248217117496564062541993353;AG010106;;01;MZN;01;01;01;62010;00;0.00;0;02;01;01;00;20-11-2025;15-11-2018;;;20-11-2025;01;01;G;N
086053653387581545217;49764621375;MZ5908605365338758154521729179683635;AG060402;;04;MZN;01;01;03;86100;00;0.00;0;02;05;01;00;04-09-2025;18-10-2018;;;04-09-2025;05;01;G;N
089184679091086623770;63296037323;MZ5908918467909108662377097331429026;AG030103;;05;MZN;01;01;03;47110;00;0.00;0;02;01;01;00;29-08-2025;16-01-2018;;;29-08-2025;01;03;G;N
