NIB;NUIB do Titular;IBAN;Agência / ID Ponto;Agente / ID Ponto;Tipo de Conta;Moeda;Titularidade;Tipo de Titular;Regime de movimentação;Sector de Actividade do Titular;Dimensão da Empresa titular;Volume de Negócios da Empresa titular;Número de trabalhadores da empresa titular;Tipo de classificação da necessidade especial/deficiência;Canal preferencial de acesso à conta;Estado da Conta;Motivo de alteração do Estado;Data da última actualização do estado;Data de Abertura;Data de Encerramento;Data da Última Operação;Data da Última Actualização dos dados;Canal de Abertura;Frequência de utilização da conta;Regime de Abertura;Pessoa Politicamente Exposta  (PEP)
093186083222858722394;17740932779;MZ5909318608322285872239438993841937;AG081303;;03;MZN;01;01;05;41000;00;0.00;0;02;01;01;00;25-01-2025;10-06-2021;;;25-01-2025;01;01;S;N
094394615595553454906;55187060891;MZ5909439461559555345490600845119347;AG090303;;01;MZN;01;01;02;56101;00;0.00;0;02;03;01;00;23-11-2025;03-09-2025;;;23-11-2025;03;01;S;N
096920024325041312398;98438234156;MZ5909692002432504131239858565943826;AG070405;;01;MZN;01;01;02;47210;00;0.00;0;01;04;01;00;11-10-2025;01-06-2021;;;11-10-2025;04;01;G;N
092432704666815635945;45814457249;MZ5909243270466681563594558060474002;AG060503;;01;MZN;01;01;04;47110;00;0.00;0;01;01;01;00;11-01-2025;14-08-2019;;;11-01-2025;01;01;S;N
095361093847711286414;62501772206;MZ5909536109384771128641475565624684;AG040105;;01;MZN;01;01;05;62010;00;0.00;0;01;03;01;00;17-08-2025;22-06-2022;;;17-08-2025;03;01;S;N
097083979682722865235;37618072111;MZ5909708397968272286523571393854174;AG100604;;02;MZN;06;02;03;47300;02;10223347.09;358;00;01;01;00;26-03-2025;18-08-2023;;;26-03-2025;01;04;G;N
090572340189008376975;58497420309;MZ5909057234018900837697524301348211;AG070209;;02;MZN;01;01;02;96020;00;0.00;0;01;02;01;00;12-12-2025;11-11-2025;;;12-12-2025;02;04;G;N
097489365698393498005;56452155804;MZ5909748936569839349800575685649446;AG032206;;01;MZN;01;01;03;55101;00;0.00;0;01;05;01;00;20-02-2025;25-11-2022;;;20-02-2025;05;03;G;N
094081499645020464486;33399330487;MZ5909408149964502046448661465256899;AG030906;;01;USD;05;02;02;86100;01;6255672.35;308;00;02;01;00;08-05-2025;11-05-2018;;;08-05-2025;02;01;G;N
092862166691698799219;94175061797;MZ5909286216669169879921941138840240;AG090503;;04;EUR;01;01;04;86100;00;0.00;0;02;01;01;00;25-09-2025;16-06-2017;;;25-09-2025;01;02;S;N
092986717230311071102;09116596681;MZ5909298671723031107110231333992366;AG051107;;02;USD;06;02;03;47210;02;16344854.82;376;00;04;01;00;28-08-2025;24-08-2020;;;28-08-2025;04;03;G;N
093244404239308122839;44986476744;MZ5909324440423930812283907045365543;AG050701;;01;MZN;01;01;04;47110;00;0.00;0;01;05;01;00;01-12-2025;15-05-2017;;;01-12-2025;05;03;S;N
094504574815483368239;71421789468;MZ5909450457481548336823969936144903;AG020908;;01;MZN;01;01;03;47210;00;0.00;0;01;04;01;00;28-10-2025;22-09-2025;;;28-10-2025;04;01;G;N
090738693573569553993;19832923213;MZ5909073869357356955399313380687454;AG020204;;01;MZN;01;01;02;55101;00;0.00;0;01;01;01;00;01-12-2025;30-08-2021;;;01-12-2025;01;01;G;N
093412018674137399989;34733673782;MZ5909341201867413739998971173556675;AG032308;;02;MZN;07;02;01;47210;01;5446153.55;12;00;04;01;00;14-12-2025;30-03-2025;;;14-12-2025;04;03;G;N
091493455081772634426;59525184665;MZ5909149345508177263442675840133421;AG080708;;01;MZN;01;01;04;56101;00;0.00;0;01;04;01;00;26-07-2025;30-07-2024;;;26-07-2025;04;01;G;N
098594430816502564569;72178604295;MZ5909859443081650256456943904335397;AG100709;;01;MZN;01;01;05;96020;00;0.00;0;01;02;01;00;29-06-2025;20-01-2018;;;29-06-2025;02;03;S;N
093649733003663356804;25332923227;MZ5909364973300366335680497404926239;AG100808;;01;MZN;04;02;01;86100;03;11719606.35;314;00;02;01;00;15-08-2025;03-07-2023;;;15-08-2025;02;01;S;N
093812864988251710625;49586202330;MZ5909381286498825171062525090893253;AG100405;;02;MZN;01;01;04;55101;00;0.00;0;01;01;01;00;18-05-2025;07-11-2019;;;18-05-2025;01;01;S;N
092073292713811171810;03380127434;MZ5909207329271381117181029810873247;AG090802;;01;MZN;01;01;03;64190;00;0.00;0;01;04;01;00;27-12-2025;09-09-2023;;;27-12-2025;04;01;G;N
093678787193214579907;61165888534;MZ5909367878719321457990750522377931;AG040404;;01;MZN;01;01;03;47300;00;0.00;0;02;04;01;00;23-07-2025;13-10-2021;;;23-07-2025;04;02;S;N
096965364141733897300;84193265597;MZ5909696536414173389730075145281652;AG041704;;02;MZN;06;02;03;96020;02;7074647.15;80;00;01;01;00;16-12-2025;30-11-2025;;;16-12-2025;01;01;S;S
091506746366788108810;68855062371;MZ5909150674636678810881032019102919;AG070306;;01;EUR;01;01;02;47110;00;0.00;0;01;05;01;00;21-07-2025;26-04-2022;;;21-07-2025;05;02;G;N
099983914527257722715;89646741380;MZ5909998391452725772271585721106439;AG061109;;03;MZN;01;01;02;55101;00;0.00;0;02;05;01;00;27-11-2025;23-07-2023;;;27-11-2025;05;02;G;N
098081875455710360703;44050972366;MZ5909808187545571036070309881269017;AG100303;;01;MZN;01;01;05;01130;00;0.00;0;02;01;01;00;26-10-2025;03-12-2024;;;26-10-2025;01;01;G;N
