NUIB;Referência do crédito;Situação da operação;Estado de renegociação;Gestão de cobrança;Data da renegociação;Data do contencioso ou abate do activo;Montante desembolsado/ utilizado;Saldo de capital em dívida;Saldo de capital vencido;Juros vencidos;Juros vincendos;Juros de mora acumulados;Valor da prestação;Taxa de juros de referência;Taxa de juros efectiva;Taxa de juros de mora;Data início de atraso;N.º de dias de atraso;N.º de dias de atraso.1;N.º de prestações em atraso;Comissão de liquidação;Montante cobrado
11932110197;BCO09CRD000001224;REG;NRE;NOR;;;308948.92;308948.92;0.00;0.00;15447.45;0.00;11033.89;18.6420;23.1289;30.8400;;0;0;0;0.3800;0.00
45952632971;BCO09CRD000000764;REG;NRE;NOR;;;25500119.46;25500119.46;0.00;0.00;1275005.97;0.00;728574.84;17.0793;21.0952;27.2361;;0;0;0;1.9825;0.00
40913771854;BCO09CRD000000859;REG;NRE;CON;;;3565668.47;3565668.47;0.00;0.00;178283.42;0.00;64830.34;12.5725;14.1469;17.7416;;0;0;0;2.1628;0.00
05571734155;BCO09CRD000000681;REG;NRE;NOR;;;281826.35;281826.35;0.00;0.00;14091.32;0.00;3436.91;16.1252;22.2237;25.8376;;0;0;0;2.6010;0.00
24947866361;BCO09CRD000001323;VEN;NRE;NOR;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;15.6647;21.6108;28.7822;11-02-2025;13;13;10;0.7593;0.00
49109759231;BCO09CRD000001395;REG;NRE;NOR;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;13.2079;21.3682;23.4453;;0;0;0;0.0204;0.00
46930197179;BCO09CRD000000033;REG;NRE;ABA;;;283171.84;283171.84;0.00;0.00;14158.59;0.00;9764.55;16.6510;19.5788;27.9475;;0;0;0;0.3601;0.00
38485175975;BCO09CRD000001096;REG;NRE;NOR;;;1383776.49;1383776.49;0.00;0.00;69188.82;0.00;92251.77;16.9932;20.5663;23.8862;;0;0;0;2.6269;0.00
70215650439;BCO09CRD000000111;REG;NRE;NOR;;;333003.54;333003.54;0.00;0.00;16650.18;0.00;3264.74;11.6433;19.0284;24.0197;;0;0;0;2.1543;0.00
49818187192;BCO09CRD000000374;REG;NRE;NOR;;;1207470.10;1207470.10;0.00;0.00;60373.50;0.00;11723.01;14.1403;19.3614;27.9260;;0;0;0;1.9652;0.00
01411058889;BCO09CRD000001180;REG;NRE;NOR;;;174718.40;174718.40;0.00;0.00;8735.92;0.00;2426.64;14.4648;24.6813;29.5912;;0;0;0;1.0185;0.00
30164978598;BCO09CRD000000718;REG;NRE;NOR;;;833741.65;833741.65;0.00;0.00;41687.08;0.00;6947.85;14.1808;15.8980;23.3645;;0;0;0;0.8644;0.00
29681734198;BCO09CRD000000796;REG;NRE;ABA;;;279314.53;279314.53;0.00;0.00;13965.73;0.00;3774.52;14.3277;18.0846;22.3368;;0;0;0;0.1567;0.00
91925740428;BCO09CRD000000468;REG;NRE;NOR;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;16.2368;27.4636;33.0833;;0;0;0;0.5738;0.00
03483635045;BCO09CRD000001048;REG;NRE;NOR;;;468604.91;468604.91;0.00;0.00;23430.25;0.00;3971.23;21.0000;20.4674;28.2098;;0;0;0;2.8691;0.00
95525383852;BCO09CRD000000165;REG;NRE;NOR;;;660887.46;660887.46;0.00;0.00;33044.37;0.00;11801.56;9.4718;19.1271;23.4399;;0;0;0;0.4602;0.00
58017996096;BCO09CRD000000101;REG;NRE;NOR;;;531736.49;531736.49;0.00;0.00;26586.82;0.00;5162.49;11.7471;22.3947;25.7805;;0;0;0;0.2958;0.00
73871686910;BCO09CRD000000696;REG;NRE;NOR;;;5300251.56;5300251.56;0.00;0.00;265012.58;0.00;103926.50;14.6785;18.1587;22.4203;;0;0;0;0.4904;0.00
03464280598;BCO09CRD000000495;VEN;NRE;NOR;;;1575870.04;1233726.16;342143.88;34214.39;78793.50;3991.92;19698.38;16.8391;20.1499;27.9209;10-04-2025;87;87;1;1.7891;0.00
20471529248;BCO09CRD000000296;VEN;NRE;NOR;;;1219961.68;1175170.36;44791.32;4479.13;60998.08;2515.70;18208.38;16.3046;22.0094;29.5242;05-05-2025;308;308;5;1.2433;0.00
77309780803;BCO09CRD000000327;REG;NRE;NOR;;;4246141.78;4246141.78;0.00;0.00;212307.09;0.00;92307.43;16.2603;19.1025;22.9274;;0;0;0;1.9793;0.00
05769544856;BCO09CRD000001130;ANT;RES;NOR;;;249963.19;249963.19;0.00;0.00;12498.16;0.00;2474.88;19.4130;25.3094;31.7966;;0;0;0;0.6943;5220.16
45841861838;BCO09CRD000000068;REG;NRE;NOR;;;539415.39;539415.39;0.00;0.00;26970.77;0.00;21576.62;18.9558;25.8840;30.0704;;0;0;0;2.3125;0.00
36483786430;BCO09CRD000001148;VEN;NRE;CON;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;13.7576;18.4932;25.2770;10-08-2025;335;335;8;0.8886;0.00
46969325187;BCO09CRD000000909;REG;NRE;NOR;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;12.2886;16.4927;20.6899;;0;0;0;2.7922;0.00
97761421068;BCO09CRD000000128;REG;NRE;CON;;;218970.54;218970.54;0.00;0.00;10948.53;0.00;9520.46;12.4971;17.7495;28.8754;;0;0;0;0.0194;0.00
94812363365;BCO09CRD000001041;REG;REF;NOR;;;651078.94;651078.94;0.00;0.00;32553.95;0.00;5425.66;17.5285;20.9496;27.4745;;0;0;0;0.6877;0.00
75351575083;BCO09CRD000000760;REG;REF;CON;;;564025.00;564025.00;0.00;0.00;28201.25;0.00;6266.94;15.8721;24.9765;30.3602;;0;0;0;2.6036;0.00
85510624767;BCO09CRD000000168;REG;NRE;NOR;;;8748836.28;8748836.28;0.00;0.00;437441.81;0.00;380384.19;19.7056;23.9518;32.0464;;0;0;0;2.2146;0.00
42762021314;BCO09CRD000000551;VEN;NRE;CON;;;1175661.49;911676.61;263984.87;26398.49;58783.07;2573.15;10048.39;17.0749;20.7463;24.9884;19-05-2025;344;344;6;1.4824;0.00
31209899116;BCO09CRD000000816;REG;NRE;NOR;;;230443.33;230443.33;0.00;0.00;11522.17;0.00;2039.32;12.5724;22.6103;26.4099;;0;0;0;2.7877;0.00
55335409979;BCO09CRD000000766;REG;NRE;CON;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;15.6241;16.8153;22.4596;;0;0;0;1.4230;0.00
