NUIB;Referência do depósito;Tipo de Depósito;Tipo de Contraparte;País da Contraparte;Latitude;Longitude;Tipo de taxas de juros;Taxa de juro de referência;Taxa Anual Efectiva (TAE);Taxa Anual Nominal Bruta (TANB);Taxa Anual Nominal Líquida (TANL);Moeda;Data de Depósito;Data de Maturidade;Data do 1º Pagamento de Juros;Frequência de pagamento de juros
97008035700;BCO09DEP000000001;DO;0;MZ;-10.1586;39.0725;1;1;1.5943;2.2040;1.2755;USD;26-07-2025;;25-08-2025;5
43860028350;BCO09DEP000000002;DO;1;MZ;-23.8636;39.5719;1;7;1.1425;2.1339;0.9140;MZN;27-04-2025;;27-05-2025;3
48069544005;BCO09DEP000000003;DO;0;MZ;-14.7925;31.3406;1;2;1.6366;2.1552;1.3092;MZN;10-02-2025;;12-03-2025;9
10065656654;BCO09DEP000000004;DO;1;MZ;-12.3349;38.3082;1;7;0.0881;0.5689;0.0705;MZN;01-10-2025;;31-10-2025;6
16289113224;BCO09DEP000000005;DO;0;MZ;-25.4923;33.2885;1;7;1.3920;2.1392;1.1136;MZN;24-11-2025;;24-12-2025;6
21918287126;BCO09DEP000000006;DO;1;MZ;-11.9097;35.6943;2;5;1.2316;2.0501;0.9853;USD;01-11-2025;;01-12-2025;6
74151945870;BCO09DEP000000007;DO;0;MZ;-18.1322;39.3403;1;2;1.9282;2.3790;1.5425;MZN;01-08-2025;;31-08-2025;2
34659579892;BCO09DEP000000008;DP;1;MZ;-25.4265;38.9311;1;2;6.3576;6.4619;5.0861;MZN;21-10-2025;19-04-2026;20-11-2025;1
02647762568;BCO09DEP000000009;DO;0;MZ;-16.4404;31.0355;3;6;0.0688;0.0844;0.0550;MZN;20-08-2025;;19-09-2025;9
72882724443;BCO09DEP000000010;DO;1;MZ;-11.8086;39.4900;1;5;0.3663;1.0026;0.2930;MZN;11-05-2025;;10-06-2025;6
53282991256;BCO09DEP000000011;DO;0;MZ;-24.1897;37.3465;1;5;1.8010;2.0544;1.4408;ZAR;25-03-2025;;24-04-2025;5
51485537766;BCO09DEP000000012;DO;1;MZ;-17.3694;36.3286;1;1;0.9282;1.7140;0.7425;MZN;03-06-2025;;03-07-2025;3
09826627854;BCO09DEP000000013;DO;0;MZ;-12.7670;35.3784;1;1;0.2146;0.7816;0.1717;MZN;27-12-2025;;26-01-2026;2
43530546233;BCO09DEP000000014;DO;0;MZ;-10.0727;39.2381;2;5;0.2473;0.9530;0.1978;MZN;11-01-2025;;10-02-2025;4
60790591869;BCO09DEP000000015;DF;1;MZ;-25.8452;36.1958;1;7;2.6532;3.2669;2.1226;MZN;22-01-2025;;21-02-2025;2
77922821850;BCO09DEP000000016;DO;1;MZ;-19.4710;37.7357;1;5;0.4063;0.8448;0.3251;MZN;14-11-2025;;14-12-2025;9
83203252377;BCO09DEP000000017;DO;1;MZ;-20.6297;37.9688;1;5;0.2016;0.3444;0.1613;MZN;02-05-2025;;01-06-2025;2
79954180015;BCO09DEP000000018;DP;0;MZ;-22.1371;36.0684;2;3;4.3701;5.1185;3.4961;MZN;02-05-2025;02-05-2026;01-06-2025;9
90911277174;BCO09DEP000000019;DO;0;MZ;-22.9150;36.3459;1;5;0.8209;1.2069;0.6567;MZN;13-10-2025;;12-11-2025;6
72609509903;BCO09DEP000000020;DP;1;MZ;-20.3322;35.0408;1;4;4.5148;4.9171;3.6118;MZN;27-01-2025;27-04-2025;26-02-2025;2
99373058300;BCO09DEP000000021;DO;0;MZ;-20.3169;36.8524;1;1;1.8262;2.6467;1.4609;MZN;02-11-2025;;02-12-2025;6
66276323048;BCO09DEP000000022;DO;0;MZ;-18.8649;30.4190;1;2;1.8017;2.1824;1.4413;MZN;20-04-2025;;20-05-2025;2
83911387531;BCO09DEP000000023;DO;0;MZ;-19.8123;38.8411;1;6;0.3557;0.3931;0.2846;MZN;14-02-2025;;16-03-2025;2
31937264633;BCO09DEP000000024;DO;1;MZ;-24.7235;33.3437;1;5;0.1747;1.0276;0.1398;MZN;30-04-2025;;30-05-2025;4
06358523455;BCO09DEP000000025;DP;0;MZ;-23.3912;38.1445;1;1;11.9659;12.1599;9.5727;USD;27-12-2025;27-12-2027;26-01-2026;3
16278658908;BCO09DEP000000026;DO;1;MZ;-24.0407;30.0095;2;5;1.2100;1.3766;0.9680;MZN;25-03-2025;;24-04-2025;6
24052848521;BCO09DEP000000027;DO;0;MZ;-15.2648;35.8221;1;5;0.7783;1.4471;0.6226;MZN;05-11-2025;;05-12-2025;5
06358523455;BCO09DEP000000028;DO;0;MZ;-15.2658;36.1120;1;6;1.7725;2.5244;1.4180;USD;07-02-2025;;09-03-2025;3
48063602864;BCO09DEP000000029;DO;0;MZ;-17.3258;31.4356;1;6;0.9614;1.2511;0.7691;USD;17-01-2025;;16-02-2025;5
32207960741;BCO09DEP000000030;DP;1;MZ;-14.3385;39.2737;1;1;2.6729;2.8445;2.1384;MZN;09-09-2025;08-12-2025;09-10-2025;6
02679102950;BCO09DEP000000031;DO;1;MZ;-21.5948;38.1038;1;2;1.4758;2.2829;1.1806;MZN;11-11-2025;;11-12-2025;6
00860867040;BCO09DEP000000032;DP;1;MZ;-19.3044;33.7870;1;1;4.6311;5.0952;3.7049;MZN;07-06-2025;07-07-2025;07-07-2025;9
53958337565;BCO09DEP000000033;DO;0;MZ;-25.4810;36.0961;1;5;1.0725;1.9532;0.8580;MZN;20-09-2025;;20-10-2025;5
49001472630;BCO09DEP000000034;DO;1;MZ;-20.9642;35.6360;1;3;0.1806;0.8182;0.1445;MZN;17-10-2025;;16-11-2025;6
33399330487;BCO09DEP000000035;DO;1;MZ;-19.2206;37.8059;2;2;0.8011;1.0994;0.6409;USD;12-09-2025;;12-10-2025;9
68034306574;BCO09DEP000000036;DO;0;MZ;-25.8939;30.5386;1;2;1.0138;1.2024;0.8110;MZN;28-10-2025;;27-11-2025;2
68855062371;BCO09DEP000000037;DO;1;MZ;-17.3603;38.9944;1;5;0.2244;1.1486;0.1796;EUR;18-08-2025;;17-09-2025;9
88973223904;BCO09DEP000000038;DO;0;MZ;-15.0823;34.8679;1;7;1.1867;1.3468;0.9493;MZN;03-02-2025;;05-03-2025;2
40880450108;BCO09DEP000000039;DO;0;MZ;-24.1678;30.0464;2;4;1.0261;1.5310;0.8209;MZN;03-02-2025;;05-03-2025;9
80784238152;BCO09DEP000000040;DO;0;MZ;-25.8231;32.4594;2;5;0.5382;0.6250;0.4306;MZN;20-01-2025;;19-02-2025;9
97979797290;BCO09DEP000000041;DO;1;MZ;-19.0283;36.2923;1;5;1.0940;1.5526;0.8752;EUR;23-12-2025;;22-01-2026;4
85720713298;BCO09DEP000000042;DP;1;MZ;-17.0381;35.0501;1;6;2.7379;3.2420;2.1903;MZN;30-05-2025;26-11-2025;29-06-2025;3
56689547410;BCO09DEP000000043;DP;0;MZ;-24.2441;34.6578;2;4;8.9876;9.7899;7.1901;MZN;01-08-2025;01-08-2027;31-08-2025;1
48745188863;BCO09DEP000000044;DO;1;MZ;-13.2052;39.9776;2;7;0.3623;0.4352;0.2899;MZN;10-01-2025;;09-02-2025;6
45206444247;BCO09DEP000000045;DO;1;MZ;-18.6800;38.0143;1;4;1.2592;1.4741;1.0074;MZN;27-09-2025;;27-10-2025;5
34770781238;BCO09DEP000000046;DO;0;MZ;-12.8485;37.2361;2;2;0.3093;1.0612;0.2474;MZN;16-06-2025;;16-07-2025;6
56629713808;BCO09DEP000000047;DO;1;MZ;-10.5359;33.8658;1;2;0.6139;0.6874;0.4911;MZN;10-03-2025;;09-04-2025;1
63172248310;BCO09DEP000000048;DO;1;MZ;-16.6943;37.3421;1;7;1.4479;1.6667;1.1584;MZN;29-04-2025;;29-05-2025;5
66171331501;BCO09DEP000000049;DO;0;MZ;-10.0793;37.7285;1;3;1.7753;2.3013;1.4203;MZN;15-11-2025;;15-12-2025;2
62205595304;BCO09DEP000000050;DO;0;MZ;-20.0439;31.2990;1;4;1.0598;1.0890;0.8478;MZN;29-08-2025;;28-09-2025;1
53119613814;BCO09DEP000000051;DO;0;MZ;-16.7622;38.7922;1;7;0.5021;1.1152;0.4017;MZN;21-06-2025;;21-07-2025;2
54410188056;BCO09DEP000000052;DP;0;MZ;-18.5944;36.0905;1;6;6.0381;6.3656;4.8304;MZN;29-09-2025;28-12-2025;29-10-2025;6
79052848958;BCO09DEP000000053;DP;0;MZ;-15.1268;39.0207;1;1;4.5365;5.4998;3.6292;MZN;01-08-2025;01-08-2027;31-08-2025;3
60059675885;BCO09DEP000000054;DS;1;MZ;-20.3121;30.2252;2;2;1.5663;1.7043;1.2530;MZN;25-03-2025;;24-04-2025;9
48063602864;BCO09DEP000000055;DP;1;MZ;-21.1732;34.4584;1;2;4.0771;4.0852;3.2617;USD;28-07-2025;28-07-2027;27-08-2025;6
20319164422;BCO09DEP000000056;DP;1;MZ;-18.9727;34.4406;1;2;3.5034;3.7600;2.8027;MZN;22-06-2025;22-06-2027;22-07-2025;2
21886835648;BCO09DEP000000057;DO;0;MZ;-21.6795;32.3804;1;7;0.8758;1.0709;0.7006;MZN;15-03-2025;;14-04-2025;6
